x=0.30015564 , y=9.508881 , z=-1.7020569
x=0.2803192 , y=9.556351 , z=-1.347168
x=0.29766846 , y=9.518219 , z=-1.2202911
x=0.2513275 , y=9.459091 , z=-1.5297089
x=0.0135650635 , y=9.414368 , z=-2.0157623
x=-0.20573425 , y=9.446106 , z=-1.8942719
x=-0.15916443 , y=9.512604 , z=-1.5961456
x=0.084198 , y=9.579971 , z=-1.3874359
x=0.26293945 , y=9.480164 , z=-1.7032776
x=0.27981567 , y=9.484772 , z=-1.6117401
x=0.09408569 , y=9.496902 , z=-1.6897583
x=-0.108932495 , y=9.574524 , z=-1.7655334
x=-0.23475647 , y=9.581558 , z=-1.9070587
x=-0.057540894 , y=9.500626 , z=-1.8481445
x=0.19882202 , y=9.441132 , z=-1.6276245
x=0.25265503 , y=9.44574 , z=-1.5057678
x=0.10171509 , y=9.442703 , z=-1.475296
x=-0.035446167 , y=9.4664 , z=-1.4893951
x=-0.13053894 , y=9.463226 , z=-1.6401215
x=-0.23106384 , y=9.442932 , z=-1.7149048
x=-0.22042847 , y=9.425018 , z=-1.6967621
x=-0.013519287 , y=9.444489 , z=-1.5608978
x=0.17015076 , y=9.466904 , z=-1.4655914
x=0.12670898 , y=9.442917 , z=-1.4868469
x=-0.045822144 , y=9.4266815 , z=-1.6205902
x=-0.14898682 , y=9.462875 , z=-1.7777863
x=-0.12272644 , y=9.532074 , z=-1.820755
x=-0.029556274 , y=9.5299225 , z=-1.8104553
x=0.09790039 , y=9.531296 , z=-1.8369751
x=0.11651611 , y=9.485306 , z=-1.7778168
x=0.013595581 , y=9.477539 , z=-1.6053314
x=-0.09527588 , y=9.485992 , z=-1.5140991
x=-0.031723022 , y=9.451981 , z=-1.6215363
x=0.083984375 , y=9.379883 , z=-1.7644958
x=0.11579895 , y=9.388062 , z=-1.6665497
x=0.037872314 , y=9.354126 , z=-1.7242126
x=-0.039855957 , y=9.426163 , z=-1.7824707
x=-0.15719604 , y=9.524109 , z=-1.8977966
x=-0.17434692 , y=9.674759 , z=-1.8696747
x=-0.02935791 , y=9.66011 , z=-2.1058807
x=0.11425781 , y=9.650024 , z=-2.0298615
x=0.19223022 , y=9.570343 , z=-1.9212494
x=0.14048767 , y=9.504532 , z=-1.6003113
x=-0.0039367676 , y=9.342926 , z=-1.4741821
x=-0.0791626 , y=9.216614 , z=-1.3759613
x=-0.043548584 , y=9.206772 , z=-1.2969971
x=0.04966736 , y=9.232788 , z=-1.4651794
x=0.11795044 , y=9.383896 , z=-1.61763
x=0.069488525 , y=9.491211 , z=-1.8222961
x=-0.07810974 , y=9.61203 , z=-1.9030762
x=-0.1650238 , y=9.700867 , z=-2.0218048
x=-0.114852905 , y=9.712936 , z=-2.124298
x=-0.011260986 , y=9.699188 , z=-2.0682068
x=0.029388428 , y=9.648727 , z=-1.9839935
x=-0.027282715 , y=9.563431 , z=-1.8787842
x=-0.16841125 , y=9.447433 , z=-1.7625427
x=-0.23646545 , y=9.310318 , z=-1.5542145
x=-0.093185425 , y=9.2248535 , z=-1.3151703
x=0.07220459 , y=9.238403 , z=-1.3097992
x=0.14434814 , y=9.363907 , z=-1.4014893
x=0.07772827 , y=9.507721 , z=-1.6047363
x=-0.054885864 , y=9.6311035 , z=-1.8783875
x=-0.20585632 , y=9.752838 , z=-2.02742
x=-0.21244812 , y=9.7552185 , z=-2.1018066
x=-0.062942505 , y=9.749359 , z=-1.9735718
x=0.10636902 , y=9.672058 , z=-1.805954
x=0.115615845 , y=9.6080475 , z=-1.7197876
x=-0.0040130615 , y=9.518616 , z=-1.599884
x=-0.08857727 , y=9.43631 , z=-1.5596161
x=-0.10038757 , y=9.385574 , z=-1.4910278
x=-0.0692749 , y=9.345978 , z=-1.4032135
x=-0.08332825 , y=9.30777 , z=-1.3468018
x=-0.12162781 , y=9.32605 , z=-1.3914642
x=-0.17573547 , y=9.393845 , z=-1.5503845
x=-0.21774292 , y=9.484955 , z=-1.723877
x=-0.20248413 , y=9.583786 , z=-1.8977661
x=-0.11236572 , y=9.654602 , z=-2.0136871
x=-0.025497437 , y=9.659531 , z=-2.0060272
x=-0.015060425 , y=9.601654 , z=-1.9250946
x=-0.07875061 , y=9.516235 , z=-1.780365
x=-0.13711548 , y=9.417099 , z=-1.5973053
x=-0.13877869 , y=9.332657 , z=-1.4607239
x=-0.06335449 , y=9.31073 , z=-1.3766174
x=-7.6293945E-4 , y=9.294907 , z=-1.4055328
x=-5.0354004E-4 , y=9.348907 , z=-1.4911194
x=-0.13194275 , y=9.418869 , z=-1.5454559
x=-0.27287292 , y=9.475357 , z=-1.6384125
x=-0.27574158 , y=9.525467 , z=-1.6969147
x=-0.16186523 , y=9.58696 , z=-1.796463
x=-0.041152954 , y=9.621948 , z=-1.8246307
x=0.035507202 , y=9.648407 , z=-1.8485565
x=0.028274536 , y=9.618912 , z=-1.8497467
x=-0.013366699 , y=9.544785 , z=-1.7601776
x=-0.11329651 , y=9.484375 , z=-1.6413116
x=-0.089782715 , y=9.407013 , z=-1.5514069
x=-0.02168274 , y=9.377792 , z=-1.4920044
x=0.012573242 , y=9.367615 , z=-1.5160828
x=0.01612854 , y=9.421814 , z=-1.6018372
x=-0.009216309 , y=9.5048065 , z=-1.7271881
x=-0.011077881 , y=9.561951 , z=-1.8309174
x=0.011199951 , y=9.593857 , z=-1.9081726
x=0.0572052 , y=9.5707855 , z=-1.8751221
x=0.10194397 , y=9.531097 , z=-1.8158722
x=0.10298157 , y=9.485794 , z=-1.7405548
x=0.045562744 , y=9.438461 , z=-1.6839294
x=0.007385254 , y=9.41066 , z=-1.643692
x=0.007858276 , y=9.403473 , z=-1.6650848
x=0.02960205 , y=9.436996 , z=-1.651001
x=0.013442993 , y=9.41597 , z=-1.6409302
x=-0.03062439 , y=9.44809 , z=-1.6161346
x=-0.04272461 , y=9.470657 , z=-1.6418304
x=-0.07788086 , y=9.4973755 , z=-1.7146912
x=-0.06889343 , y=9.50798 , z=-1.7344666
x=-0.018127441 , y=9.531006 , z=-1.7466278
x=-0.0051727295 , y=9.544281 , z=-1.7729492
x=-0.01953125 , y=9.508545 , z=-1.7735138
x=-0.06750488 , y=9.474197 , z=-1.7279358
x=-0.077056885 , y=9.452515 , z=-1.6663208
x=-0.080581665 , y=9.464539 , z=-1.6439056
x=-0.074645996 , y=9.462585 , z=-1.6652985
x=-0.076187134 , y=9.501038 , z=-1.7181854
x=-0.08103943 , y=9.527359 , z=-1.7495728
x=-0.120010376 , y=9.544815 , z=-1.7615814
x=-0.16145325 , y=9.504578 , z=-1.7359619
x=-0.13226318 , y=9.468903 , z=-1.6814117
x=-0.088760376 , y=9.429138 , z=-1.6490936
x=-0.09063721 , y=9.398743 , z=-1.6394348
x=-0.12745667 , y=9.396225 , z=-1.6710968
x=-0.15083313 , y=9.442947 , z=-1.7043915
x=-0.15501404 , y=9.498627 , z=-1.7261505
x=-0.16828918 , y=9.531342 , z=-1.7272339
x=-0.17089844 , y=9.530151 , z=-1.7051697
x=-0.15908813 , y=9.495972 , z=-1.673172
x=-0.13348389 , y=9.461945 , z=-1.629303
x=-0.14015198 , y=9.460678 , z=-1.6141052
x=-0.17530823 , y=9.448654 , z=-1.6555176
x=-0.16513062 , y=9.453751 , z=-1.7088165
x=-0.12017822 , y=9.4882965 , z=-1.7810974
x=-0.06628418 , y=9.509125 , z=-1.805542
x=-0.024795532 , y=9.522125 , z=-1.8116608
x=-0.039916992 , y=9.534546 , z=-1.7686157
x=-0.045532227 , y=9.554108 , z=-1.7903748
x=-0.06556702 , y=9.540543 , z=-1.782898
x=-0.01739502 , y=9.559219 , z=-1.7673187
x=0.008377075 , y=9.526413 , z=-1.73703
x=0.018356323 , y=9.485977 , z=-1.6635284
x=0.015151978 , y=9.432556 , z=-1.6126862
x=0.02545166 , y=9.408783 , z=-1.594635
x=0.08004761 , y=9.374023 , z=-1.6435852
x=0.18551636 , y=9.432312 , z=-1.3526459
x=0.18357849 , y=9.549667 , z=-1.6703796
x=0.032562256 , y=9.526077 , z=-2.011032
x=-0.15945435 , y=9.666916 , z=-1.153305
x=-0.29325867 , y=9.563583 , z=-2.355423
x=-0.69537354 , y=9.622314 , z=-1.6273193
x=-0.7759552 , y=9.393951 , z=-1.3111877
x=0.28590393 , y=9.51236 , z=-1.2743683
x=1.0544739 , y=9.580017 , z=-1.9542694
x=0.4743805 , y=9.637329 , z=-1.533371
x=-0.41403198 , y=9.3116455 , z=-1.8580627
x=-0.44058228 , y=9.536789 , z=-1.578476
x=-0.11048889 , y=9.420746 , z=-2.3073883
x=-0.07191467 , y=9.668594 , z=-1.6208344
x=0.022323608 , y=9.443893 , z=-1.6281433
x=0.39927673 , y=9.611374 , z=-1.7620392
x=0.18832397 , y=9.731583 , z=-2.0681915
x=-0.6375122 , y=9.519058 , z=-2.4488525
x=-0.8152008 , y=9.559937 , z=-1.7076263
x=-0.06098938 , y=9.436874 , z=-1.8924713
x=0.40403748 , y=9.425034 , z=-1.4638367
x=0.23927307 , y=9.340103 , z=-1.757782
x=-0.06994629 , y=9.396957 , z=-1.8138428
x=-0.40216064 , y=9.532288 , z=-1.8274994
x=-0.64060974 , y=9.521515 , z=-1.9124756
x=-0.3985443 , y=9.476212 , z=-1.8557739
x=0.37509155 , y=9.471252 , z=-1.6614227
x=0.779541 , y=9.521881 , z=-1.4178467
x=0.2033844 , y=9.415161 , z=-1.3961182
x=-0.54533386 , y=9.366028 , z=-1.5799103
x=-0.6395111 , y=9.465805 , z=-1.8151855
x=-0.36584473 , y=9.524002 , z=-1.9362488
x=-0.13470459 , y=9.53981 , z=-1.7807617
x=0.09046936 , y=9.554703 , z=-1.7576141
x=0.20985413 , y=9.621902 , z=-1.7295227
x=-0.079833984 , y=9.565445 , z=-1.8270874
x=-0.5560303 , y=9.505615 , z=-1.7852631
x=-0.639328 , y=9.498978 , z=-1.9444733
x=-0.33268738 , y=9.509064 , z=-2.108368
x=-0.15289307 , y=9.4453125 , z=-1.7915344
x=0.03135681 , y=9.463715 , z=-1.3300018
x=0.32673645 , y=9.549896 , z=-0.98753357
x=0.2821045 , y=9.426086 , z=-1.9473419
x=-0.43025208 , y=9.507706 , z=-1.6798706
x=-1.3075104 , y=9.318024 , z=-1.7459259
x=-1.2156372 , y=9.39151 , z=-1.6086731
x=-0.35011292 , y=9.500397 , z=-1.8394012
x=0.12611389 , y=9.470291 , z=-1.4335022
x=0.25819397 , y=9.475479 , z=-1.3769836
x=0.15458679 , y=9.553162 , z=-1.9134521
x=-0.3394928 , y=9.652969 , z=-2.09758
x=-0.9246216 , y=9.571304 , z=-2.040863
x=-0.86546326 , y=9.4964905 , z=-1.8222198
x=-0.2910614 , y=9.468521 , z=-1.5035248
x=0.037750244 , y=9.37796 , z=-1.4254913
x=-0.027145386 , y=9.360336 , z=-1.283371
x=-0.27952576 , y=9.355286 , z=-1.4614105
x=-0.54634094 , y=9.43129 , z=-1.6875458
x=-0.68203735 , y=9.474258 , z=-1.7109985
x=-0.43458557 , y=9.465576 , z=-1.6054993
x=0.05596924 , y=9.51561 , z=-1.5484619
x=0.13562012 , y=9.589569 , z=-1.6672516
x=-0.43145752 , y=9.607071 , z=-1.8628387
x=-0.9870758 , y=9.622238 , z=-2.037613
x=-0.90042114 , y=9.658096 , z=-2.1671295
x=-0.41381836 , y=9.654678 , z=-1.9113464
x=-0.031082153 , y=9.50441 , z=-1.5995178
x=0.09919739 , y=9.344833 , z=-1.3296661
x=-0.0140686035 , y=9.207794 , z=-1.1654205
x=-0.42099 , y=9.199173 , z=-1.1901398
x=-0.7483673 , y=9.254227 , z=-1.429306
x=-0.5944519 , y=9.41008 , z=-1.6477661
x=-0.20832825 , y=9.597275 , z=-1.9044342
x=-0.09698486 , y=9.715485 , z=-1.8541718
x=-0.23709106 , y=9.644775 , z=-1.8317566
x=-0.25706482 , y=9.562149 , z=-1.7709045
x=-0.21696472 , y=9.475204 , z=-1.7697601
x=-0.12957764 , y=9.40686 , z=-1.682251
x=-0.039794922 , y=9.421356 , z=-1.6026611
x=0.064834595 , y=9.459213 , z=-1.6134644
x=-0.041625977 , y=9.456543 , z=-1.615799
x=-0.32731628 , y=9.402634 , z=-1.5858917
x=-0.4815979 , y=9.361847 , z=-1.5401917
x=-0.37220764 , y=9.37706 , z=-1.5911865
x=-0.24453735 , y=9.456757 , z=-1.6131439
x=-0.18008423 , y=9.542847 , z=-1.6613312
x=-0.1250763 , y=9.613998 , z=-1.8664093
x=-0.1974945 , y=9.599869 , z=-2.0362244
x=-0.39831543 , y=9.53183 , z=-1.9519043
x=-0.48262024 , y=9.50322 , z=-1.6127777
x=-0.44487 , y=9.448898 , z=-1.5022125
x=-0.55392456 , y=9.377899 , z=-1.735733
x=-0.76750183 , y=9.392014 , z=-1.5504303
x=-0.5917053 , y=9.35817 , z=-1.5429535
x=0.22497559 , y=9.6241455 , z=-1.2745514
x=0.7127838 , y=9.645859 , z=-1.5608215
x=0.17304993 , y=9.491455 , z=-1.6860504
x=-0.72802734 , y=9.294708 , z=-1.4283295
x=-1.0698853 , y=9.164688 , z=-1.2059479
x=-0.7108612 , y=9.250519 , z=-1.481842
x=-0.3377838 , y=9.423111 , z=-1.837616
x=-0.12840271 , y=9.605087 , z=-1.8071289
x=0.10206604 , y=9.75415 , z=-1.8941193
x=0.21556091 , y=9.863052 , z=-2.2022247
x=-0.13749695 , y=9.771057 , z=-2.2686157
x=-0.53318787 , y=9.575317 , z=-2.0498962
x=-0.53053284 , y=9.395248 , z=-1.7186584
x=-0.1933136 , y=9.282257 , z=-1.4760132
x=0.12747192 , y=9.289368 , z=-1.506958
x=0.23269653 , y=9.447937 , z=-1.6356659
x=0.010787964 , y=9.5707855 , z=-1.7596436
x=-0.36270142 , y=9.561676 , z=-1.8073578
x=-0.45303345 , y=9.495285 , z=-1.7761078
x=-0.13742065 , y=9.47937 , z=-1.7073059
x=0.15005493 , y=9.4678955 , z=-1.6626892
x=0.032943726 , y=9.480057 , z=-1.6512299
x=-0.23092651 , y=9.503418 , z=-1.7138214
x=-0.2770996 , y=9.582809 , z=-1.8001709
x=-0.21853638 , y=9.553604 , z=-1.8379517
x=-0.2815857 , y=9.399811 , z=-1.6355133
x=-0.24368286 , y=9.303284 , z=-1.3886719
x=-0.08602905 , y=9.284744 , z=-1.304306
x=-0.08648682 , y=9.362289 , z=-1.3847809
x=-0.2770996 , y=9.460815 , z=-1.5590973
x=-0.38172913 , y=9.628693 , z=-1.7569885
x=-0.26252747 , y=9.757614 , z=-1.9367218
x=-0.1426239 , y=9.749222 , z=-1.9382782
x=-0.16401672 , y=9.61235 , z=-1.81427
x=-0.1875 , y=9.483963 , z=-1.7105408
x=-0.2836151 , y=9.428604 , z=-1.5895386
x=-0.3734436 , y=9.415588 , z=-1.5464172
x=-0.37957764 , y=9.486359 , z=-1.6376953
x=-0.29969788 , y=9.551788 , z=-1.8171234
x=-0.27886963 , y=9.575821 , z=-1.8904724
x=-0.35897827 , y=9.536652 , z=-1.8112488
x=-0.3637085 , y=9.473297 , z=-1.7157745
x=-0.26921082 , y=9.44664 , z=-1.6809235
x=-0.20347595 , y=9.438004 , z=-1.6842041
x=-0.20965576 , y=9.435577 , z=-1.7322998
x=-0.15710449 , y=9.468246 , z=-1.8472443
x=-0.0846405 , y=9.5091095 , z=-1.9246979
x=-0.09576416 , y=9.509903 , z=-1.8688507
x=-0.12055969 , y=9.455139 , z=-1.7032013
x=-0.070388794 , y=9.392563 , z=-1.5525208
x=-0.0015716553 , y=9.343262 , z=-1.4779053
x=0.036758423 , y=9.331696 , z=-1.5269623
x=0.0134887695 , y=9.392639 , z=-1.6010742
x=-0.0032043457 , y=9.46965 , z=-1.7204437
x=-0.047851562 , y=9.54451 , z=-1.7808685
x=-0.06617737 , y=9.558548 , z=-1.7745361
x=0.0028686523 , y=9.528687 , z=-1.7224731
x=0.05937195 , y=9.498428 , z=-1.6897888
x=0.027236938 , y=9.441681 , z=-1.6671143
x=-0.050842285 , y=9.48526 , z=-1.6054535
x=-0.12625122 , y=9.501205 , z=-1.6954193
x=-0.10021973 , y=9.57341 , z=-1.7023621
x=-0.066467285 , y=9.528687 , z=-1.6973267
x=-0.028442383 , y=9.4857025 , z=-1.6033325
x=-0.010910034 , y=9.452469 , z=-1.5570984
x=-0.07411194 , y=9.432434 , z=-1.6141205
x=-0.24003601 , y=9.444412 , z=-1.6500702
x=-0.35383606 , y=9.496918 , z=-1.708313
x=-0.2902069 , y=9.536362 , z=-1.8079529
x=-0.14724731 , y=9.563797 , z=-1.8398743
x=-0.06463623 , y=9.542114 , z=-1.828537
x=-0.09399414 , y=9.50647 , z=-1.7507629
x=-0.18655396 , y=9.461105 , z=-1.690628
x=-0.2564087 , y=9.438446 , z=-1.6581421
x=-0.2775879 , y=9.458206 , z=-1.665863
x=-0.21192932 , y=9.497971 , z=-1.7197876
x=-0.14863586 , y=9.491867 , z=-1.7227478
x=-0.15122986 , y=9.492203 , z=-1.734787
x=-0.21331787 , y=9.480942 , z=-1.6787262
x=-0.23344421 , y=9.46759 , z=-1.5812225
x=-0.21775818 , y=9.413101 , z=-1.5866394
x=-0.15837097 , y=9.432205 , z=-1.6049042
x=-0.098358154 , y=9.489456 , z=-1.6817322
x=-0.06964111 , y=9.541946 , z=-1.7185364
x=-0.09446716 , y=9.569458 , z=-1.734436
x=-0.1250763 , y=9.521439 , z=-1.6991425
x=-0.09437561 , y=9.4934845 , z=-1.6574249
x=-0.040359497 , y=9.44339 , z=-1.6240234
x=-0.033737183 , y=9.428101 , z=-1.6255798
x=-0.08946228 , y=9.449753 , z=-1.6797028
x=-0.122909546 , y=9.502487 , z=-1.7367554
x=-0.0692749 , y=9.572662 , z=-1.7979584
x=-0.012878418 , y=9.566223 , z=-1.8081665
x=-0.017242432 , y=9.534515 , z=-1.7659302
x=-0.056900024 , y=9.48703 , z=-1.7071075
x=-0.079574585 , y=9.458984 , z=-1.6514587
x=-0.09048462 , y=9.444061 , z=-1.6468048
x=-0.119003296 , y=9.446548 , z=-1.6642303
