x=0.06283473120439932 , y=4.728946753180827 , z=-0.8280894317213098
x=0.055747132213519415 , y=4.71596172252154 , z=-0.8157681482226327
x=-0.011474433673071466 , y=4.721531095248496 , z=-0.8355890117084303
x=-0.08180111558688315 , y=4.7303734281122525 , z=-0.8755740561768928
x=-0.10913681761521762 , y=4.741153597513882 , z=-0.9073347392759595
x=-0.04950638304824517 , y=4.756366377263951 , z=-0.9308405438947981
x=0.0019607243709969194 , y=4.758098223303703 , z=-0.9467781050271428
x=0.028441947296017567 , y=4.751384458920523 , z=-0.9600301604062154
x=0.021636631580339544 , y=4.740222825633486 , z=-0.9364785801211278
x=0.002296412590155925 , y=4.728778909071247 , z=-0.9092420587029993
x=-0.0012359429887217935 , y=4.734958624014856 , z=-0.9089063704838404
x=0.01689885012357267 , y=4.744899572868587 , z=-0.9341440211424311
x=0.07361490060602831 , y=4.727016545920662 , z=-0.9326715705447564
x=0.15532446486041354 , y=4.696629132809064 , z=-0.8512595481209894
x=0.1765643739999288 , y=4.723385009731579 , z=-0.8138531995178847
x=0.09870759498816398 , y=4.751453122419896 , z=-0.8133267793560217
x=-0.019958190484544516 , y=4.712848977216611 , z=-0.9550711298959118
x=-0.06809893282302919 , y=4.679905756072779 , z=-0.9313211883904121
x=-0.05580053715747653 , y=4.698917916121512 , z=-0.7409478217387152
x=0.014411705590712764 , y=4.72192781768932 , z=-0.6825457008827563
x=0.06450554302248619 , y=4.762851263315886 , z=-0.8460868978348574
x=0.06011107906258648 , y=4.815424616002812 , z=-0.9314890324999917
x=-0.027083935863965226 , y=4.825769916575076 , z=-0.9592519740799831
x=-0.05038374998468348 , y=4.818392405031285 , z=-0.8739261321919304
x=0.07825350145258911 , y=4.742671823777805 , z=-0.8533957458792739
x=0.2203030231008056 , y=4.745609095695446 , z=-0.7219051445791498
x=0.21070539174394132 , y=4.773242339554399 , z=-0.7410546316266294
x=0.07844423339529309 , y=4.823160703598885 , z=-0.7793993813878376
x=-0.00302882325013921 , y=4.788577187747799 , z=-0.899690203012384
