bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0,,,,,
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,
-3.494462,-1.5153301,10.889409,23.55108042,87.29696581,-152.232284545898,6.068,0,12715985,0
-2.3581703,-0.051939424,9.779035,23.55108042,87.29696581,-152.232284545898,6.068,0,12716025,0
-0.48274472,2.433202,9.962151,23.55108042,87.29696581,-152.232284545898,6.068,0,12716065,0
-2.0930102,0.45940286,8.385206,23.55108042,87.29696581,-152.232284545898,6.068,0,12716105,0
-0.18304819,2.4923303,7.0065465,23.55108042,87.29696581,-152.232284545898,6.068,0,12716146,0
-4.898759,-2.5605984,12.933895,23.55108042,87.29696581,-152.232284545898,6.068,0,12716168,0
0.13149291,5.5608864,4.6720896,23.55108042,87.29696581,-152.232284545898,6.068,0,12716191,0
1.4715183,6.4995527,2.3167048,23.55108042,87.29696581,-152.232284545898,6.068,0,12716229,0
1.185617,6.50554,2.8012326,23.55108042,87.29696581,-152.232284545898,6.068,0,12716267,0
1.4950025,7.9369197,2.5474172,23.55108042,87.29696581,-152.232284545898,6.068,0,12716308,0
0.36479712,6.28623,4.641635,23.55108042,87.29696581,-152.232284545898,6.068,0,12716348,0
-1.4781082,2.6002388,7.4687743,23.55108042,87.29696581,-152.232284545898,6.068,0,12716388,0
-3.7248266,-0.985139,11.529887,23.55108042,87.29696581,-152.232284545898,6.068,0,12716429,0
-5.5488234,-2.4073184,12.9111595,23.55108042,87.29696581,-152.232284545898,6.068,0,12716468,0
-5.3903866,-3.5794778,13.475817,23.55108042,87.29696581,-152.232284545898,6.068,0,12716511,0
-2.7117565,-0.22578174,10.963203,23.55108042,87.29696581,-152.232284545898,6.068,0,12716552,0
0.18574487,2.6890216,7.439711,23.55108041,87.29696584,-152.232284545898,6.068,0,12716589,0
0.41362715,4.845939,4.8700433,23.55108041,87.29696584,-152.232284545898,6.068,0,12716630,0
-1.9554834,4.2724786,6.403731,23.55108041,87.29696584,-152.232284545898,6.068,0,12716670,0
-2.968989,1.8546451,9.089493,23.55108041,87.29696584,-152.232284545898,6.068,0,12716712,0
-4.092833,-0.8709124,11.470097,23.55108041,87.29696584,-152.232284545898,6.068,0,12716750,0
