,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
41,-1.7123,5.9022,11.9479,-1.8085,6.9027,6.727,0.9923,-0.3196,1.2099,0.7392,-0.1789,-0.3945,8925,12.18,-24.93,-30.06,324.98,-46.91,13.95,5,66.472,23.551037,87.28820999999999,64.52,,18.54,31.122583000000002,304.0,15 / 18,20504,2020-02-14 12:53:28:348
42,-3.1884,4.8165,10.3294,-2.0499,6.8987,6.6615,1.0585,0.4216,1.7642,0.5558,-0.4579,-0.256,10148,4.61,-21.3,-35.15,29.77,-44.71,17.1,5,66.035,23.551037,87.28820999999999,64.52,,18.54,31.122583000000002,304.0,15 / 18,21004,2020-02-14 12:53:28:848
43,2.307,10.6906,6.3436,-1.5929,7.2738,6.3815,1.7502,-0.1723,1.9111,0.2909,-0.3734,-0.2,15211,-1.97,-21.38,-38.38,40.82,-47.88,14.02,5,67.14399999999999,23.551070000000003,87.288185,64.52,,17.6,31.122583000000002,325.0,17 / 20,21504,2020-02-14 12:53:29:348
44,-3.7469,-0.4745,28.5247,-0.8016,7.5213,6.2416,-0.4213,-1.4263,1.6176,-0.3024,-0.3891,-0.0511,19711,-10.04,-23.01,-40.54,46.29,-50.22,8.57,5,67.03699999999999,23.551070000000003,87.288185,64.52,,17.6,31.122583000000002,325.0,17 / 20,22004,2020-02-14 12:53:29:848
45,-0.5527,10.1144,1.3771,0.0744,7.6096,6.1854,-0.6316,-1.9799,-1.0555,0.23,-0.2112,0.0339,30000,-15.55,-23.21,-41.34,41.62,-50.89,-0.69,5,65.94800000000001,23.551119,87.28818000000001,64.52,,18.79,13.832258,344.5,14 / 16,22504,2020-02-14 12:53:30:348
46,1.8525,12.0245,1.139,0.6042,7.4949,6.2954,-0.4724,3.1431,-0.0303,0.3981,-0.1651,0.0365,30000,-18.85,-23.76,-41.47,41.25,-49.84,-5.48,5,67.53399999999999,23.551119,87.28818000000001,64.52,,18.79,13.832258,344.5,14 / 16,23004,2020-02-14 12:53:30:848
47,-0.2539,10.3157,7.8573,0.9149,7.7048,5.9975,0.7040000000000001,2.0108,-1.5845,-0.4436,0.013000000000000001,-0.1277,30000,-19.16,-23.83,-41.59,32.87,-51.11,-8.51,5,68.637,23.551165,87.28815999999999,64.52,,18.79,17.290323,344.5,14 / 16,23504,2020-02-14 12:53:31:348
48,-3.27,-5.8435,14.8533,1.0357,7.8691,5.7598,-2.088,-8.6258,4.6537,-1.3392,-0.0106,-0.0948,30000,-20.75,-24.74,-41.39,33.27,-53.36,-10.19,5,68.32600000000001,23.551165,87.28815999999999,64.52,,18.79,17.290323,344.5,14 / 16,24004,2020-02-14 12:53:31:848
49,1.2221,11.5204,12.3704,1.3075,7.6034,6.0538,0.5604,-1.2209999999999999,0.1473,0.3116,-0.0014,0.1207,30000,-21.15,-22.88,-41.43,30.71,-50.84,-12.19,5,67.527,23.551231,87.28815999999999,67.74,,23.18,17.290323,357.0,14 / 15,24504,2020-02-14 12:53:32:348
50,-1.911,-4.4655,20.7096,1.5039,7.3886,6.2703,-0.6601,-4.6416,6.1504,0.6148,0.0007,0.1849,30000,-20.36,-23.51,-41.21,29.09,-48.89,-13.49,5,67.505,23.551231,87.28815999999999,67.74,,23.18,17.290323,357.0,14 / 15,25005,2020-02-14 12:53:32:849
