,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
81,2.3194,7.5478,2.7385,0.4835,6.5018,7.3255,-0.4762,-0.1396,-0.013000000000000001,-0.1513,0.0603,0.0153,18411,-10.8,-23.85,-40.57,40.65,-41.53,-3.78,5,61.111000000000004,23.552288,87.28797,64.52,,18.5,10.374194000000001,347.6,15 / 18,40505,2020-02-14 12:53:48:349
82,0.693,11.9291,-3.3515,0.7395,6.6123,7.2043,0.6679,3.5601,-5.5648,-0.0386,0.1228,0.0141,17246,-10.14,-24.36,-40.64,28.83,-42.4,-5.86,5,60.056000000000004,23.552288,87.28797,64.52,,18.5,10.374194000000001,347.6,15 / 18,41004,2020-02-14 12:53:48:848
83,2.7854,11.0103,-3.3135,0.9791,6.3662,7.3948,1.0739,1.601,-2.4086,-0.3687,-0.0423,0.2631,22924,-9.6,-24.57,-40.72,31.94,-41.31,-6.2,5,62.317,23.552324,87.28795,64.52,,14.8,10.374194000000001,339.7,16 / 20,41504,2020-02-14 12:53:49:348
84,-1.1609,-2.504,22.3205,1.5405,6.68,7.0125,-2.7742,-4.5727,7.652,0.5087,0.1062,0.276,20820,-5.72,-26.01,-39.82,338.1,-42.58,-13.17,5,61.471000000000004,23.552324,87.28795,64.52,,14.8,10.374194000000001,339.7,16 / 20,42005,2020-02-14 12:53:49:849
85,-0.9027,7.8366,3.4591,1.2692,6.4635,7.2651,1.8179,7.5322,-9.706,1.1558,0.1225,0.1752,12693,-0.36,-28.71,-38.53,287.34,-39.36,-9.36,5,60.419,23.552359,87.28793,64.52,,14.8,10.374194000000001,339.7,16 / 20,42505,2020-02-14 12:53:50:349
86,2.5003,18.4312,-3.1966,1.3605,7.0726,6.6556,4.7818,8.5143,-8.7209,0.3654,0.1269,-0.0063,8983,3.68,-35.09,-36.23,273.16,-46.15,-11.55,5,62.525,23.552359,87.28793,64.52,,14.8,10.374194000000001,339.7,16 / 20,43005,2020-02-14 12:53:50:849
87,2.1456,3.2560000000000002,17.4942,2.3173,6.4966,6.971,-3.6502,-1.3623,4.6975,-0.6306,0.4599,0.6434,9011,5.38,-38.99,-35.28,256.42,-46.6,-18.39,5,62.79,23.55237,87.28792,64.52,,10.62,10.374194000000001,315.5,15 / 20,43504,2020-02-14 12:53:51:348
88,13.0124,0.251,-0.5723,2.9097,7.1155,6.0888,-8.9678,-15.8989,17.4926,-1.9455,0.6891,0.2584,8615,7.7,-47.42,-30.9,227.65,-42.47,-21.66,5,63.3,23.55237,87.28792,64.52,,10.62,10.374194000000001,315.5,15 / 20,44004,2020-02-14 12:53:51:848
89,0.7959,6.252000000000001,9.9115,2.4425,6.5904,6.8389999999999995,-0.2586,0.1173,-1.9044,0.271,0.4094,0.3592,7372,7.85,-53.3,-24.7,212.28,-42.22,-19.65,5,62.292,23.552376000000002,87.28789499999999,67.74,,12.17,10.374194000000001,289.1,15 / 19,44504,2020-02-14 12:53:52:348
90,5.3179,2.5648,2.775,1.1046,7.1925,6.574,-0.6577,-0.6027,-1.3492,-0.0935,0.2937,-0.1881,6371,11.56,-55.69,-15.82,207.47,-46.51,-12.11,5,61.805,23.552376000000002,87.28789499999999,67.74,,12.17,10.374194000000001,289.1,15 / 19,45004,2020-02-14 12:53:52:848
