,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
171,-0.1985,9.1256,8.2102,-1.5408,7.6407,5.9511,2.0722,0.5529,-2.2573,0.0176,-0.2552,-0.0863,30000,-21.94,-22.3,-39.62,67.85,-51.18,13.51,5,62.341,23.549335,87.29264,100.0,,10.55,10.374194000000001,19.0,26 / 37,85502,2020-02-14 12:39:00:687
172,0.9337,4.8096,6.7329,-1.6612,7.4472,6.1603,1.4278,-0.0227,-3.4863,0.1592,-0.0961,-0.1329,15096,-24.68,-23.25,-39.68,74.75,-49.41,15.09,5,66.223,23.549364,87.29264,96.77,,13.39,10.374194000000001,15.2,18 / 21,86002,2020-02-14 12:39:01:187
173,-0.2801,7.6679,-3.8863,-0.8168,7.9114,5.737,1.6644,2.6239999999999997,-0.5227,0.3693,-0.1028,0.0811,25300,-27.43,-23.17,-38.27,66.9,-53.78,8.1,5,67.123,23.549364,87.29264,96.77,,13.39,10.374194000000001,15.2,18 / 21,86503,2020-02-14 12:39:01:688
174,-0.9275,4.4717,2.888,-0.2681,7.7858,5.9565,-0.4581,-1.2157,3.9006,0.3763,-0.0045,-0.0306,30000,-27.94,-22.52,-38.54,61.79,-52.55,2.58,5,66.65899999999999,23.5494,87.29265600000001,96.77,,15.44,10.374194000000001,21.7,16 / 19,87002,2020-02-14 12:39:02:187
175,0.6898,9.3113,-3.2986,-0.29600000000000004,7.546,6.2563,0.4385,-0.1286,1.1124,0.2318,-0.0359,0.19399999999999998,30000,-29.0,-23.72,-37.67,67.08,-51.05,3.23,5,66.181,23.5494,87.29265600000001,96.77,,15.44,10.374194000000001,21.7,16 / 19,87503,2020-02-14 12:39:02:688
176,-5.4489,1.1413,25.4602,-0.6207,7.0527,6.7856,0.5458,-2.5313,5.7753,-0.3028,-0.2893,-0.1526,30000,-30.0,-22.8,-37.01,75.57,-45.99,5.23,5,66.64699999999999,23.54944,87.29267,96.77,,18.18,10.374194000000001,22.5,18 / 21,88002,2020-02-14 12:39:03:187
177,-3.9541,2.9608,13.3541,0.9263,7.4073,6.3595,1.9186,2.1014,-1.1426,-0.1629,0.1788,0.201,30000,-30.4,-20.3,-36.8,56.26,-49.14,-6.28,5,66.57,23.54944,87.29267,96.77,,18.18,10.374194000000001,22.5,18 / 21,88502,2020-02-14 12:39:03:687
178,-1.1535,7.9108,17.6274,0.7393,7.4472,6.3375,0.6194,0.4952,-4.7193,-0.2817,-0.0629,-0.1859,30000,-27.92,-21.0,-38.29,52.88,-48.17,-8.05,5,66.027,23.549475,87.29269000000001,96.77,,16.27,10.374194000000001,22.0,17 / 20,89002,2020-02-14 12:39:04:187
179,0.4273,7.0779,1.7407,0.6503,7.7827,5.931,-0.0413,0.1992,-1.5983,-0.2036,0.0246,-0.0524,30000,-25.92,-21.47,-39.28,46.86,-52.52,-6.26,5,67.071,23.549475,87.29269000000001,96.77,,16.27,10.374194000000001,22.0,17 / 20,89502,2020-02-14 12:39:04:687
180,3.093,7.3225,-4.0937,0.8559,7.8973,5.7507,0.2583,1.9417,-1.3985,0.1046,-0.011000000000000001,0.3226,30000,-26.38,-21.59,-39.47,47.19,-53.19,-6.13,5,67.581,23.549492,87.292694,96.77,,6.3,10.374194000000001,22.0,17 / 20,90003,2020-02-14 12:39:05:188
