,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
91,-2.4217,7.25,0.6359,-1.4147,7.1893,6.5179,0.3626,0.5072,-2.0346,0.0549,-0.2492,0.0366,10598,-10.99,-16.81,-40.84,54.0,-45.9,13.82,5,60.973,23.547943,87.29207,77.42,,10.48,13.832258,331.5,16 / 22,45502,2020-02-14 12:38:20:687
92,-3.2007,10.5885,4.4357,-1.3358,7.4697,6.212000000000001,-2.5011,0.8024,-5.6781,0.1173,-0.42200000000000004,-0.4445,11424,-18.8,-19.24,-39.54,61.86,-49.61,12.14,5,63.473,23.547966,87.29205,77.42,,10.48,13.832258,331.5,16 / 22,46002,2020-02-14 12:38:21:187
93,0.1922,9.6516,7.7316,0.27699999999999997,7.6145,6.1736,-0.4545,3.1384,-0.4958,-0.0775,-0.1525,0.215,12586,-22.21,-20.32,-38.72,51.88,-50.54,0.16,5,65.707,23.547966,87.29205,77.42,,10.48,13.832258,331.5,16 / 22,46502,2020-02-14 12:38:21:687
94,-1.8925,8.511000000000001,13.917,1.3848,7.5047,6.1589,-2.0731,-1.2004,4.1411,-0.127,0.0562,0.3523,20268,-24.74,-20.52,-40.01,39.53,-50.2,-11.08,5,67.39699999999999,23.547976000000002,87.29205,80.65,,1.91,13.832258,335.3,15 / 36,47002,2020-02-14 12:38:22:187
95,0.9788,6.3968,8.346,1.3223,7.4473,6.2418,-2.3823,1.4397,1.4278,-0.252,-0.006999999999999999,0.1797,21308,-22.39,-21.74,-38.29,38.14,-49.41,-11.96,5,67.688,23.547976000000002,87.29205,80.65,,1.91,13.832258,335.3,15 / 36,47502,2020-02-14 12:38:22:687
96,-0.3758,4.8582,16.4545,1.6984,7.4196,6.1835,-1.1407,1.6415,-3.0506,0.6219,0.17,0.1068,18399,-18.73,-21.5,-39.32,24.09,-49.16,-15.36,5,68.41199999999999,23.547989,87.292046,83.87,,7.06,13.832258,333.1,15 / 36,48003,2020-02-14 12:38:23:188
97,-1.2722,2.0266,21.3992,0.9883,7.3178,6.4532,-1.3219999999999998,1.2345,-0.2057,-0.1109,0.1868,-0.0164,10006,-16.64,-21.53,-39.5,27.31,-50.06,-10.4,5,67.499,23.547989,87.292046,83.87,,7.06,13.832258,333.1,15 / 36,48503,2020-02-14 12:38:23:688
98,-2.2071,4.8751,8.8132,0.3875,7.4634,6.3496,-0.1758,-1.76,3.0139,-0.1803,-0.0076,-0.091,10609,-13.42,-21.59,-38.84,31.8,-49.22,-4.6,5,67.331,23.548008,87.29204,83.87,,9.14,13.832258,337.7,17 / 36,49002,2020-02-14 12:38:24:187
99,-1.7046,4.1407,9.5668,0.2881,7.3973,6.4318,0.6891,0.7285,-2.8891,-0.2182,0.0264,-0.0258,18858,-11.36,-19.41,-38.84,28.14,-48.97,-2.56,5,66.874,23.548008,87.29204,83.87,,9.14,13.832258,337.7,17 / 36,49502,2020-02-14 12:38:24:687
100,2.2233,6.1559,3.2261,0.4544,7.372000000000001,6.4512,-0.3569,-1.5279,2.654,0.0019,-0.0047,0.0791,15309,-13.5,-18.51,-42.24,27.01,-48.74,-4.03,5,67.421,23.54804,87.29203000000001,83.87,,13.0,13.832258,346.9,17 / 36,50002,2020-02-14 12:38:25:187
