,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
141,-0.0964,7.3177,5.8456,0.6946,6.9236,6.9103,-0.1951,1.0096,-0.6035,0.0438,0.1456,0.0665,22290,-18.86,-19.53,-38.69,45.83,-44.91,-5.74,5,66.62,23.549032,87.29205999999999,109.68,,16.88,10.374194000000001,354.7,16 / 20,70503,2020-02-14 12:38:45:688
142,-0.2197,12.2454,-1.0291,0.0778,6.9685,6.8996,1.4294,3.0176,-6.7644,-0.1313,-0.0448,-0.1387,22290,-16.55,-20.05,-38.09,53.98,-43.66,-0.87,5,66.872,23.549059,87.29205,109.68,,6.16,10.374194000000001,2.2,17 / 36,71003,2020-02-14 12:38:46:188
143,-0.141,5.6404,5.1114,-0.5034,7.0641,6.7834,0.4998,-0.6238,1.6115,-0.4762,0.0145,-0.3121,22290,-15.21,-20.34,-37.9,54.28,-45.03,2.93,5,64.344,23.549059,87.29205,109.68,,6.16,10.374194000000001,2.2,17 / 36,71502,2020-02-14 12:38:46:687
144,-1.3958,6.7756,4.2158,-0.961,7.0061,6.7943,0.6046,-1.7881,1.2365,0.2026,0.0305,-0.3616,8661,-15.37,-20.85,-37.28,63.52,-45.6,8.05,5,65.399,23.549076,87.29205999999999,100.0,,6.12,13.832258,357.7,16 / 37,72002,2020-02-14 12:38:47:187
145,-3.2453,3.0857,10.8829,-1.5539,6.7828,6.9101,-0.4253,0.8195,0.0412,0.0862,-0.0458,-0.3836,6961,-19.27,-21.09,-37.98,71.51,-45.1,11.71,5,63.665,23.549076,87.29205999999999,100.0,,6.12,13.832258,357.7,16 / 37,72502,2020-02-14 12:38:47:687
146,1.9492,10.1984,3.4536,-1.7686,6.6354,7.001,2.4493,2.186,-3.1941,0.4513,-0.3443,-0.2504,9510,-24.0,-23.19,-38.13,84.44,-41.26,14.08,5,61.821999999999996,23.549095,87.29205999999999,100.0,,6.66,13.832258,358.6,16 / 37,73003,2020-02-14 12:38:48:188
147,-1.8559,17.6985,-7.6634,-1.6943,6.7617,6.8978,2.8012,7.8438,-6.6885,0.4437,-0.4835,-0.2348,5039,-30.01,-27.9,-36.11,91.68,-43.59,13.8,5,65.916,23.549095,87.29205999999999,100.0,,6.66,13.832258,358.6,16 / 37,73502,2020-02-14 12:38:48:687
148,0.5219,9.3369,8.8985,-1.3943,6.784,6.9429,1.5001,2.2564,-1.2144,-0.0136,-0.4202,-0.5204,30000,-37.11,-32.69,-33.32,99.88,-42.8,11.97,5,64.565,23.549114000000003,87.29208,96.77,,3.46,10.374194000000001,5.7,16 / 37,74003,2020-02-14 12:38:49:188
149,1.5939,5.568,1.1789,-0.7162,7.1584,6.6644,-2.2284,-1.2935,-0.6649,0.3514,-0.2658,-0.1626,17125,-42.63,-38.72,-26.09,103.75,-46.88,6.13,5,60.992,23.549114000000003,87.29208,96.77,,3.46,10.374194000000001,5.7,16 / 37,74503,2020-02-14 12:38:49:688
150,2.3868,5.3321,-1.0718,-0.2533,7.4998,6.3134,-0.2458,-0.8490000000000001,-2.6981,0.1164,-0.1348,-0.0732,11652,-45.38,-38.84,-24.01,100.49,-49.36,2.18,5,63.928999999999995,23.549132999999998,87.29211,96.77,,12.24,10.374194000000001,35.9,23 / 37,75003,2020-02-14 12:38:50:188
