x=0.05155945 , y=3.046524 , z=9.124908
x=-0.177948 , y=3.0693817 , z=9.0793
x=-0.49116516 , y=3.0080109 , z=9.137207
x=-0.47961426 , y=3.006958 , z=9.231461
x=-0.27471924 , y=3.0422058 , z=9.221771
x=-0.14427185 , y=3.077301 , z=9.136765
x=-0.24613953 , y=3.1485138 , z=9.01709
x=-0.34007263 , y=3.1470337 , z=8.903168
x=-0.33415222 , y=3.1413422 , z=8.982941
x=-0.2695465 , y=3.0274048 , z=9.182098
x=-0.24171448 , y=2.983017 , z=9.298859
x=-0.27053833 , y=2.9917908 , z=9.340973
x=-0.3690033 , y=3.0127716 , z=9.153275
x=-0.4889679 , y=3.065216 , z=9.012344
x=-0.5133972 , y=3.0529785 , z=9.013962
x=-0.37965393 , y=3.022995 , z=9.096146
x=-0.26257324 , y=3.0441132 , z=9.229919
x=-0.32955933 , y=3.0319824 , z=9.169449
x=-0.49697876 , y=3.040741 , z=9.054077
x=-0.5193939 , y=3.0488586 , z=9.026169
x=-0.42001343 , y=3.0165405 , z=9.044022
x=-0.3892975 , y=2.9761658 , z=9.210556
x=-0.4535675 , y=2.928131 , z=9.302078
x=-0.52583313 , y=2.9599 , z=9.206482
x=-0.45092773 , y=3.0351868 , z=9.070816
x=-0.3614502 , y=3.0734558 , z=9.023712
x=-0.32572937 , y=3.045166 , z=9.069473
x=-0.36431885 , y=2.9806976 , z=9.171616
x=-0.3547058 , y=2.9816132 , z=9.254395
x=-0.30421448 , y=3.0095062 , z=9.147446
x=-0.36912537 , y=3.032547 , z=9.089981
x=-0.4390869 , y=3.0220337 , z=9.044998
x=-0.39570618 , y=3.007187 , z=9.132141
x=-0.31108093 , y=2.9937744 , z=9.223846
x=-0.27342224 , y=3.0071106 , z=9.177521
x=-0.30493164 , y=3.0308685 , z=9.069397
x=-0.325531 , y=3.0589142 , z=8.998688
x=-0.30085754 , y=3.044632 , z=9.0238495
x=-0.2432251 , y=3.0093536 , z=9.115814
x=-0.21984863 , y=2.998932 , z=9.230713
x=-0.21281433 , y=2.999298 , z=9.157806
x=-0.2029419 , y=3.0236664 , z=9.070663
x=-0.29510498 , y=3.0810852 , z=9.048981
x=-0.47976685 , y=3.1165924 , z=8.927109
x=-0.5181885 , y=3.0748444 , z=8.875015
x=-0.27978516 , y=3.0171661 , z=9.1267395
