x=0.3062744 , y=9.635895 , z=-1.002594
x=0.25125122 , y=9.664612 , z=-0.94755554
x=0.1603241 , y=9.645462 , z=-0.9571228
x=0.18424988 , y=9.650253 , z=-0.95951843
x=0.2536316 , y=9.688538 , z=-0.9834442
x=0.117248535 , y=9.702896 , z=-0.9762726
x=0.114852905 , y=9.712463 , z=-0.91645813
x=0.1531372 , y=9.736389 , z=-0.92362976
x=0.21774292 , y=9.755539 , z=-1.0959167
x=0.25842285 , y=9.683746 , z=-1.0408783
x=0.17945862 , y=9.6957245 , z=-0.8805542
x=0.052642822 , y=9.650253 , z=-0.83270264
x=0.033493042 , y=9.631119 , z=-0.825531
x=0.06939697 , y=9.6263275 , z=-0.92123413
x=0.055038452 , y=9.607178 , z=-0.928421
x=0.047851562 , y=9.640686 , z=-0.7800598
x=0.2033844 , y=9.667007 , z=-0.6412811
x=0.2871399 , y=9.765106 , z=-0.8063812
x=0.32063293 , y=9.6957245 , z=-0.85902405
x=0.24885559 , y=9.683746 , z=-0.79681396
x=0.117248535 , y=9.693329 , z=-0.88534546
x=0.0143585205 , y=9.815353 , z=-0.90448
x=0.112457275 , y=9.614365 , z=-1.071991
x=0.102890015 , y=9.652649 , z=-0.6699829
x=0.090927124 , y=9.688538 , z=-0.78245544
x=0.102890015 , y=9.647858 , z=-0.9260254
x=0.098098755 , y=9.6263275 , z=-0.83509827
x=0.028717041 , y=9.537796 , z=-0.825531
x=0.04067993 , y=9.600006 , z=-0.7776642
x=-0.0023956299 , y=9.628723 , z=-0.8925171
x=0.021530151 , y=9.559326 , z=-1.0384827
x=0.0382843 , y=9.592819 , z=-1.1246338
x=-0.07417297 , y=9.676575 , z=-0.95474243
x=-0.06460571 , y=9.722046 , z=-0.9690857
x=0.08375549 , y=9.738785 , z=-0.80877686
x=0.18185425 , y=9.743576 , z=-0.87815857
x=0.17468262 , y=9.750748 , z=-0.87815857
x=0.122039795 , y=9.693329 , z=-0.78723145
x=0.06700134 , y=9.6263275 , z=-0.7130585
x=0.035888672 , y=9.669403 , z=-0.72262573
x=0.13639832 , y=9.650253 , z=-0.8901367
x=0.14356995 , y=9.7005005 , z=-0.8614197
x=0.06700134 , y=9.743576 , z=-0.77049255
x=-0.011962891 , y=9.717255 , z=-0.98583984
x=0.026321411 , y=9.745972 , z=-0.93559265
x=0.12921143 , y=9.762711 , z=-0.92362976
x=0.18185425 , y=9.664612 , z=-0.9954071
x=0.14117432 , y=9.683746 , z=-0.8901367
x=0.1483612 , y=9.635895 , z=-0.83987427
x=0.1986084 , y=9.571289 , z=-0.6771698
x=0.19142151 , y=9.614365 , z=-0.67477417
x=0.21534729 , y=9.647858 , z=-0.80877686
x=0.27278137 , y=9.650253 , z=-0.75852966
x=0.29193115 , y=9.657425 , z=-0.79441833
x=0.2416687 , y=9.722046 , z=-0.8614197
x=0.23449707 , y=9.755539 , z=-0.8661957
x=0.29910278 , y=9.743576 , z=-0.8925171
x=0.35891724 , y=9.726822 , z=-0.9068756
x=0.34217834 , y=9.686142 , z=-0.9020996
x=0.20817566 , y=9.635895 , z=-0.8542328
x=0.050247192 , y=9.561722 , z=-0.74894714
x=0.033493042 , y=9.537796 , z=-0.79441833
x=0.107681274 , y=9.580856 , z=-0.78245544
x=0.16749573 , y=9.645462 , z=-0.8661957
x=0.21774292 , y=9.6263275 , z=-0.8566284
x=0.22013855 , y=9.631119 , z=-0.8231354
x=0.23449707 , y=9.726822 , z=-0.8614197
x=0.28234863 , y=9.738785 , z=-0.9954071
x=0.35414124 , y=9.748352 , z=-0.899704
x=0.32781982 , y=9.67897 , z=-0.8446655
x=0.33738708 , y=9.647858 , z=-0.78723145
x=0.2679901 , y=9.659821 , z=-0.81355286
x=0.27757263 , y=9.573685 , z=-0.72502136
x=0.31825256 , y=9.583252 , z=-0.6891327
x=0.4019928 , y=9.571289 , z=-0.65802
x=0.44267273 , y=9.640686 , z=-0.80158997
x=0.34695435 , y=9.59761 , z=-0.9068756
x=0.2632141 , y=9.631119 , z=-0.8159485
x=0.15553284 , y=9.621536 , z=-0.8231354
x=0.15792847 , y=9.623932 , z=-0.8685913
x=0.36131287 , y=9.722046 , z=-0.92362976
x=0.5288086 , y=9.712463 , z=-1.1270142
x=0.5886383 , y=9.769897 , z=-0.92123413
x=0.7010956 , y=10.262817 , z=-1.0145569
x=0.447464 , y=9.707687 , z=0.086135864
x=-0.08135986 , y=8.193024 , z=-4.721039
x=0.34934998 , y=10.126419 , z=0.39242554
