x,y,z
-0.818 , 4.213 , 8.899
-0.818 , 4.203 , 8.896
-0.826 , 4.138 , 8.933
-0.871 , 4.137 , 8.924
-0.82 , 4.207 , 8.97
-0.831 , 4.187 , 8.97
-0.84 , 4.192 , 8.968
-0.925 , 4.171 , 8.945
-0.938 , 4.182 , 8.938
-0.932 , 4.132 , 8.939
-0.911 , 4.156 , 8.938
-0.897 , 4.216 , 8.893
-0.914 , 4.151 , 8.874
-0.814 , 4.143 , 8.859
-0.844 , 4.078 , 8.917
-0.871 , 4.217 , 8.901
-0.838 , 4.179 , 8.941
-0.852 , 4.236 , 8.976
-0.925 , 4.187 , 9.0
-0.885 , 4.204 , 9.035
-0.915 , 4.212 , 9.018
-0.922 , 4.199 , 8.951
-0.935 , 4.128 , 9.067
-0.867 , 4.168 , 9.005
-0.873 , 4.205 , 8.896
-0.813 , 4.14 , 8.948
-0.765 , 4.173 , 8.867
-0.817 , 4.185 , 8.879
-0.777 , 4.206 , 8.879
-0.832 , 4.182 , 8.875
-0.862 , 4.203 , 8.873
-0.891 , 4.173 , 8.838
-0.911 , 4.199 , 8.901
-0.905 , 4.161 , 8.908
-0.923 , 4.154 , 8.915
-0.97 , 4.199 , 8.944
-0.829 , 4.118 , 8.891
-0.882 , 4.183 , 8.963
-0.818 , 4.174 , 8.953
-0.792 , 4.175 , 8.993
-0.737 , 4.207 , 8.901
-0.721 , 4.166 , 8.873
-0.767 , 4.186 , 8.922
-0.685 , 4.209 , 8.929
-0.8 , 4.234 , 9.007
-0.77 , 4.29 , 9.001
-0.753 , 4.243 , 9.012
-0.764 , 4.2 , 8.971
-0.791 , 4.265 , 8.998
-0.809 , 4.248 , 8.975
-0.841 , 4.261 , 8.952
-0.785 , 4.256 , 8.972
-0.82 , 4.246 , 8.981
-0.783 , 4.254 , 8.898
-0.8 , 4.248 , 9.001
-0.792 , 4.228 , 8.929
-0.752 , 4.213 , 8.978
-0.759 , 4.213 , 8.994
-0.72 , 4.157 , 8.856
-0.718 , 4.217 , 8.959
-0.689 , 4.193 , 8.93
-0.686 , 4.173 , 8.958
-0.691 , 4.157 , 8.94
-0.735 , 4.154 , 8.958
-0.686 , 4.14 , 8.996
-0.763 , 4.155 , 8.952
-0.814 , 4.134 , 8.878
-0.803 , 4.195 , 8.887
-0.847 , 4.17 , 8.938
-0.889 , 4.18 , 8.948
-0.836 , 4.224 , 8.921
-0.854 , 4.2 , 8.873
-0.847 , 4.199 , 8.889
-0.837 , 4.195 , 8.843
-0.801 , 4.205 , 8.885
-0.832 , 4.154 , 8.932
-0.801 , 4.158 , 8.971
-0.805 , 4.185 , 8.936
-0.806 , 4.156 , 8.962
-0.793 , 4.176 , 8.91
-0.792 , 4.162 , 8.928
-0.789 , 4.112 , 8.929
-0.787 , 4.174 , 8.94
-0.798 , 4.163 , 8.927
-0.893 , 4.113 , 8.989
-0.873 , 4.167 , 8.932
-0.854 , 4.182 , 8.969
-0.891 , 4.187 , 8.923
-0.878 , 4.177 , 8.981
-0.927 , 4.203 , 8.929
-0.868 , 4.199 , 8.935
-0.846 , 4.245 , 8.935
-0.831 , 4.264 , 8.901
-0.83 , 4.211 , 8.901
-0.783 , 4.256 , 8.885
-0.752 , 4.278 , 8.913
-0.726 , 4.276 , 8.928
-0.707 , 4.266 , 8.893
-0.695 , 4.26 , 8.918
-0.741 , 4.286 , 8.97
-0.834 , 4.182 , 8.929
-0.823 , 4.237 , 8.971
-0.854 , 4.234 , 8.942
-0.941 , 4.183 , 8.916
-0.963 , 4.16 , 8.903
-0.993 , 4.218 , 8.959
-0.994 , 4.194 , 8.988
-1.016 , 4.206 , 8.981
-0.964 , 4.198 , 9.015
-0.97 , 4.212 , 9.007
-0.965 , 4.189 , 8.996
-0.914 , 4.197 , 8.958
-0.832 , 4.177 , 8.978
-0.787 , 4.234 , 8.94
-0.767 , 4.203 , 8.81
-0.763 , 4.224 , 8.862
-0.714 , 4.251 , 8.85
-0.806 , 4.284 , 8.902
-0.88 , 4.308 , 8.839
-0.886 , 4.248 , 8.868
-0.993 , 4.254 , 8.881
-0.989 , 4.318 , 8.97
-1.047 , 4.307 , 8.909
-0.98 , 4.259 , 8.97
-0.986 , 4.228 , 8.884
-0.917 , 4.235 , 8.884
-0.847 , 4.205 , 8.916
-0.848 , 4.249 , 8.968
-0.849 , 4.268 , 8.941
