x,y,z
-0.276 , 8.132 , 6.229
-0.048 , 7.903 , 6.522
-0.235 , 7.701 , 6.327
-0.38 , 7.937 , 6.178
-0.107 , 8.278 , 6.479
-0.167 , 8.225 , 6.491
0.0 , 8.111 , 5.821
0.045 , 7.892 , 5.703
-0.014 , 7.713 , 5.601
-0.112 , 7.775 , 5.872
-0.167 , 7.684 , 6.554
-0.303 , 7.727 , 6.724
-0.3 , 7.665 , 6.798
-0.266 , 7.509 , 6.494
-0.273 , 7.512 , 6.176
-0.22 , 7.416 , 6.382
-0.067 , 7.376 , 6.273
-0.002 , 7.495 , 6.193
0.086 , 7.297 , 6.596
0.0 , 7.199 , 6.779
-0.115 , 7.331 , 6.741
-0.202 , 7.389 , 7.232
-0.518 , 7.491 , 6.746
-0.563 , 7.415 , 6.578
-0.822 , 7.136 , 6.221
-0.588 , 7.212 , 6.244
-0.644 , 7.456 , 6.244
-0.562 , 7.507 , 6.658
-0.498 , 7.565 , 6.772
-0.463 , 7.385 , 6.675
-0.331 , 7.259 , 6.534
-0.305 , 7.444 , 6.369
-0.239 , 7.676 , 6.349
-0.084 , 7.731 , 6.602
-0.107 , 7.782 , 6.343
-0.097 , 7.63 , 6.118
-0.103 , 7.474 , 6.244
-0.248 , 7.527 , 6.308
-0.384 , 7.514 , 6.674
-0.571 , 7.593 , 6.642
-0.601 , 7.619 , 6.403
-0.635 , 7.562 , 6.105
-0.57 , 7.636 , 5.776
-0.333 , 7.856 , 5.892
-0.204 , 7.922 , 6.033
0.042 , 7.916 , 6.002
0.193 , 7.605 , 6.061
0.347 , 7.391 , 6.376
0.572 , 7.351 , 6.452
0.677 , 7.477 , 6.664
0.82 , 7.579 , 6.828
0.831 , 7.57 , 6.749
0.753 , 7.497 , 6.821
0.615 , 7.44 , 6.773
0.505 , 7.462 , 6.688
0.346 , 7.44 , 6.728
0.297 , 7.443 , 6.766
0.183 , 7.428 , 6.63
0.237 , 7.486 , 6.424
0.153 , 7.593 , 6.339
0.105 , 7.765 , 6.367
-0.039 , 7.85 , 6.199
0.098 , 7.91 , 6.346
0.165 , 8.079 , 6.134
0.491 , 8.188 , 5.99
0.773 , 8.293 , 6.084
1.033 , 8.308 , 6.056
1.147 , 8.123 , 6.056
1.205 , 8.109 , 6.115
1.131 , 8.145 , 6.436
1.137 , 8.357 , 6.855
1.159 , 8.625 , 6.752
1.388 , 8.68 , 6.602
1.331 , 8.488 , 5.72
1.39 , 8.415 , 5.333
0.614 , 8.239 , 4.617
0.274 , 8.35 , 5.308
-0.503 , 8.589 , 5.841
-0.86 , 8.652 , 6.218
-0.945 , 8.813 , 5.614
-0.454 , 8.65 , 5.149
-0.284 , 8.342 , 4.363
0.288 , 8.061 , 5.104
0.392 , 8.002 , 5.756
0.671 , 8.356 , 6.372
1.148 , 8.339 , 7.295
1.252 , 8.195 , 6.94
1.761 , 8.249 , 6.777
1.946 , 8.344 , 6.403
2.031 , 8.649 , 6.112
1.926 , 8.601 , 6.205
1.415 , 8.356 , 5.969
0.953 , 8.494 , 5.711
0.378 , 8.521 , 6.163
-0.222 , 8.791 , 5.934
-0.621 , 8.807 , 6.175
-0.961 , 8.8 , 5.885
-0.953 , 8.758 , 5.634
-0.843 , 8.6 , 5.481
-0.91 , 8.624 , 4.989
-0.601 , 8.734 , 5.529
-0.818 , 8.674 , 5.335
-1.03 , 8.397 , 5.11
-1.463 , 8.018 , 5.084
-2.095 , 7.775 , 5.48
-2.394 , 7.89 , 6.115
-2.769 , 7.942 , 6.359
-2.755 , 7.649 , 6.683
-2.433 , 7.43 , 6.404
-2.031 , 7.327 , 6.359
-1.539 , 7.508 , 6.53
-1.329 , 7.751 , 6.352
-1.093 , 7.66 , 6.345
-1.123 , 7.559 , 6.127
-1.059 , 7.652 , 6.121
-0.803 , 7.959 , 6.345
-0.793 , 8.328 , 6.26
-0.308 , 8.509 , 6.493
-0.245 , 8.712 , 6.185
-0.125 , 9.039 , 5.594
0.159 , 9.065 , 5.807
0.201 , 9.103 , 4.936
0.307 , 9.275 , 5.091
0.373 , 9.178 , 5.247
0.172 , 8.927 , 4.976
-0.34 , 8.593 , 5.294
