x=-0.18557455097326483 , y=4.636418873136272 , z=-0.3038359847274409
x=-0.20366356841931035 , y=4.631345403460346 , z=-0.27700381502784494
x=-0.1969726918692547 , y=4.681568938613157 , z=-0.3395486336793342
x=-0.18741320690093122 , y=4.770327955469882 , z=-0.44632800448273063
x=-0.1775027751580324 , y=4.8375418920787645 , z=-0.5637502176890091
x=-0.15189891916945006 , y=4.861703814580505 , z=-0.6438042286807238
x=-0.1279277286104138 , y=4.8409826963251446 , z=-0.6596502384805706
x=-0.15300516443713313 , y=4.810557136825006 , z=-0.6328943615580561
x=-0.1943329617822316 , y=4.798960634708604 , z=-0.5968765414978365
x=-0.18975539515733608 , y=4.791453425443775 , z=-0.5811526001413203
x=-0.12602803846108213 , y=4.796137801956585 , z=-0.5731571171031695
x=-0.08975845223649322 , y=4.784602334061848 , z=-0.5281825250135709
x=-0.10449821676865682 , y=4.751361571087398 , z=-0.4496619988411962
x=-0.14670338105019362 , y=4.717167148399429 , z=-0.36826523497284547
x=-0.19051832292815202 , y=4.703892205187231 , z=-0.3184689393716903
x=-0.21716738996275217 , y=4.690701184029824 , z=-0.3270747646264939
x=-0.20977461986354587 , y=4.728824684737496 , z=-0.38454611360205726
x=-0.19266214996414474 , y=4.77344833005252 , z=-0.49206552434314516
x=-0.19246378874373263 , y=4.821619589501837 , z=-0.5640325009642111
x=-0.2506217727130303 , y=4.828768222714381 , z=-0.5646123260700312
x=-0.28639545588658893 , y=4.814013199626801 , z=-0.5113294505562471
x=-0.2881120433709247 , y=4.7759049574745465 , z=-0.4740375411187649
x=-0.2694813472075999 , y=4.717022192122974 , z=-0.45825256554058347
x=-0.21234568645119553 , y=4.698025290629658 , z=-0.4105009163652149
x=-0.1689732426803104 , y=4.728405074463547 , z=-0.39378516890663806
x=-0.17768587782302822 , y=4.755077029331272 , z=-0.47715791570140204
x=-0.2211269850932868 , y=4.7762482749714135 , z=-0.560866350715325
x=-0.2539557670714959 , y=4.784808324559968 , z=-0.5784289479995075
x=-0.24996565483012864 , y=4.793353115593106 , z=-0.5358423198325627
x=-0.24869919473057422 , y=4.771342649405067 , z=-0.5131986235947462
x=-0.2548560218410587 , y=4.760234421061988 , z=-0.4707416931488401
x=-0.26934402020885306 , y=4.775058107648941 , z=-0.46255547816798526
x=-0.2863420509426318 , y=4.795023927411194 , z=-0.4754642160501907
x=-0.2509956073207301 , y=4.787463313202408 , z=-0.47445715139271366
x=-0.18687915746136008 , y=4.760295455283653 , z=-0.4473961033618729
x=-0.20914138981376867 , y=4.726398574426302 , z=-0.4170620951942319
x=-0.3362756735425339 , y=4.720905494476427 , z=-0.43763825717313726
x=-0.4595953184172195 , y=4.75500073655419 , z=-0.5177609316642254
x=-0.45031048744638974 , y=4.840807222937857 , z=-0.6041548724314204
x=-0.32356529688074065 , y=4.885575824529336 , z=-0.6870469747305703
x=-0.23352456136904554 , y=4.8865142256874385 , z=-0.6720478147563292
x=-0.23685092644980296 , y=4.810717351656877 , z=-0.6134549619576665
x=-0.2608373755642555 , y=4.742046223005736 , z=-0.48548145768100376
x=-0.31284616170077695 , y=4.690319720144417 , z=-0.40921156843253603
x=-0.36425986417606193 , y=4.6804550640677665 , z=-0.4283686847577238
x=-0.38172328085003837 , y=4.742641306666973 , z=-0.47135203536549286
x=-0.34138728960700054 , y=4.804644446601182 , z=-0.5938553475254055
x=-0.29095776395606815 , y=4.8464528884418945 , z=-0.6393411012214507
x=-0.290759402735656 , y=4.831354547857448 , z=-0.6377008065141965
x=-0.32190974361807007 , y=4.787989733364271 , z=-0.5328897893595052
x=-0.33777864125104123 , y=4.750789375259286 , z=-0.45133281065928305
x=-0.34194422687969617 , y=4.7170755970669305 , z=-0.4980850244548828
x=-0.3132276255861849 , y=4.738628306592481 , z=-0.5251155553748909
x=-0.249263761280978 , y=4.800021104310038 , z=-0.5572882194701984
x=-0.2275050612573079 , y=4.83876257651207 , z=-0.5977539084342748
x=-0.2924759902199918 , y=4.807642752740489 , z=-0.606771714685319
x=-0.33159892630743226 , y=4.75653422137353 , z=-0.5581198107403876
x=-0.2916672867829269 , y=4.735469785621302 , z=-0.4768451153153675
x=-0.24155056151802903 , y=4.7352180194569335 , z=-0.4615026378442593
x=-0.2216305174220253 , y=4.7643008260804365 , z=-0.509933292735654
x=-0.2056776977342644 , y=4.817728657870675 , z=-0.5611944096567758
x=-0.1682408320203271 , y=4.840051924444749 , z=-0.5842119405022922
x=-0.18701648446010694 , y=4.8252206085800875 , z=-0.5497123467059962
x=-0.258991090358881 , y=4.768092577101392 , z=-0.48579425806703824
x=-0.2881807068702982 , y=4.7019772564824835 , z=-0.4355936107473506
x=-0.2740589138324955 , y=4.6894804995965185 , z=-0.40857070910505067
x=-0.26528524446811236 , y=4.70410582496306 , z=-0.45719209593914933
x=-0.23221232560324215 , y=4.769847310974268 , z=-0.5108716938937576
x=-0.1736652484708283 , y=4.854326303036715 , z=-0.588804765682604
x=-0.15371468726399193 , y=4.882752991777316 , z=-0.6354654281457058
x=-0.2144666256540638 , y=4.865182765215426 , z=-0.6090986443863076
x=-0.25806794775619374 , y=4.802531136676023 , z=-0.5745380163683463
x=-0.27798799185219747 , y=4.758990848795557 , z=-0.5444252572542418
x=-0.31059552477686997 , y=4.758037189082038 , z=-0.5124814714901792
x=-0.31892669603417984 , y=4.7613788127182115 , z=-0.4983215320638357
x=-0.27801087968532195 , y=4.781710837810456 , z=-0.517837224441307
x=-0.22784837875417507 , y=4.814478585567 , z=-0.5387948503056204
x=-0.2431679683921588 , y=4.80059330013815 , z=-0.5279307588492016
x=-0.2785678169580176 , y=4.7635836739758695 , z=-0.5069502451517638
x=-0.30543050376844616 , y=4.746288101411473 , z=-0.5053480968330504
x=-0.3180111827092007 , y=4.749355071050153 , z=-0.503082201353727
x=-0.30841355135233645 , y=4.773295744498356 , z=-0.4890443303707141
x=-0.26846665327241476 , y=4.816477456326537 , z=-0.4920197486768962
x=-0.22208827408451487 , y=4.827967148555025 , z=-0.5396645879643505
x=-0.22191280069722719 , y=4.792277387436256 , z=-0.5742786209262689
x=-0.25476447050856077 , y=4.759219727126802 , z=-0.5382836886991736
x=-0.2885163950894572 , y=4.739276795197674 , z=-0.4745639612806279
x=-0.3240764584871873 , y=4.722667857627012 , z=-0.4412240176959721
x=-0.33046979320662473 , y=4.7172205533433855 , z=-0.4279795915946077
x=-0.3000594922619021 , y=4.688549727716124 , z=-0.578505240776589
x=-0.22281305546678998 , y=4.94109407841161 , z=-0.10554342781467463
x=-0.16190853152255494 , y=4.733287812196769 , z=-0.7876313720349415
x=-0.2274287684802263 , y=4.779872181882789 , z=-0.8760470713947986
x=-0.3626500865796403 , y=4.936760648673376 , z=-0.26027280901385175
x=-0.38807846918093497 , y=4.704014273630563 , z=-0.7700611454730507
x=-0.27457007543894213 , y=4.82421354392261 , z=-0.5697086835790816
x=-0.23356270775758634 , y=4.8011502374108455 , z=-0.3747958966910298
x=-0.29063733429232547 , y=4.64745080870227 , z=-0.5545264209398446
x=-0.32148250406641316 , y=4.811342952428946 , z=-0.35980436599449694
x=-0.29541326213763314 , y=4.725628017377777 , z=-0.5643529306279538
x=-0.24821855023496017 , y=4.728290635297925 , z=-0.455498396287938
x=-0.21294839939014013 , y=4.7747910829291556 , z=-0.3100767338927151
x=-0.24216090373468177 , y=4.68404845386831 , z=-0.5228267720624431
x=-0.3011352204187525 , y=4.759410459069506 , z=-0.44822769463206225
x=-0.3327662057967806 , y=4.774218887101044 , z=-0.5199276465333426
x=-0.3092451426225258 , y=4.787226805593455 , z=-0.5951294369026681
x=-0.26285913415691775 , y=4.842706913087189 , z=-0.548316188885403
x=-0.241932025403437 , y=4.815569572279267 , z=-0.5811907465298611
x=-0.20857682326336488 , y=4.794894229690155 , z=-0.5222316884012067
x=-0.20888199437169125 , y=4.759685113067 , z=-0.44561085237816367
x=-0.26240137749442816 , y=4.702915657640587 , z=-0.4489677345697537
x=-0.28683795399366213 , y=4.716800943069437 , z=-0.41462835560532907
x=-0.23415779141882276 , y=4.7239266884488575 , z=-0.5028685815778986
x=-0.16685230347744212 , y=4.786013750437857 , z=-0.5304255326597697
x=-0.17589299756161078 , y=4.836229656312962 , z=-0.5285868767321034
x=-0.16808061718845574 , y=4.804430826825354 , z=-0.7218822567460252
x=-0.14117978398948636 , y=4.820475197845613 , z=-0.8094358477248604
x=-0.1890992772744344 , y=4.863000791790892 , z=-0.5710514364557175
x=-0.27772859641012004 , y=4.779422054498008 , z=-0.6094495911608829
x=-0.29108746167710686 , y=4.801737691794374 , z=-0.498191834342797
x=-0.26696368556390737 , y=4.748622660390169 , z=-0.5036772850149634
x=-0.20579976617759493 , y=4.6645251322131305 , z=-0.4026656481589354
x=-0.09895936115253323 , y=4.652745527431732 , z=-0.24848557495474577
x=-0.08869798263505908 , y=4.602216821170594 , z=-0.4124006065145466
x=-0.22320977790761426 , y=4.66394530710731 , z=-0.5034255188505942
x=-0.3037215455618185 , y=4.799746450312544 , z=-0.5982955871515541
x=-0.20501395057365454 , y=4.903527514976634 , z=-0.8472923237127465
x=-0.08275477530040305 , y=5.070555291841364 , z=-0.8543951812590428
x=-0.07031905263610352 , y=5.03041003254103 , z=-0.928917965912342
x=-0.09787600371797461 , y=4.932244116270145 , z=-0.8183010684217416
x=-0.13577062609440146 , y=4.79217820682605 , z=-0.5741565524829383
x=-0.23814790366019 , y=4.637326757183542 , z=-0.3820513397914892
x=-0.32953139204852117 , y=4.569525366191131 , z=-0.30202784591060716
x=-0.27314340050751634 , y=4.609380712938555 , z=-0.3705845353961259
x=-0.14172146270676564 , y=4.701130406656878 , z=-0.4644551683173169
x=-0.09541937629594735 , y=4.773722984050013 , z=-0.5344232741788452
x=-0.11679661243420948 , y=4.783587640126663 , z=-0.6438042286807238
x=-0.1483894514236968 , y=4.794970522467237 , z=-0.7134442756008011
x=-0.21564153442112033 , y=4.808146285069228 , z=-0.7226604430722575
x=-0.2807497903825511 , y=4.814058975293051 , z=-0.7300761010045883
x=-0.22689471904065517 , y=4.875795090507475 , z=-0.7478675766200156
x=-0.049063884941171934 , y=4.874681215962084 , z=-0.8258693119082354
x=0.051680727195070546 , y=4.866922240532886 , z=-0.7044798742937141
x=-0.04304438482943431 , y=4.822130751108284 , z=-0.6856737047431016
x=-0.419945962167916 , y=4.6920057905179196 , z=-0.5282511885129443
x=-0.6209240248339544 , y=4.56120182421153 , z=-0.26854294604949636
x=-0.3904130281596317 , y=4.552077208072571 , z=-0.3157147701190448
x=-0.07119641957254183 , y=4.775096254037481 , z=-0.283046202972707
