x=2.5846161848593474 , y=5.431404868881878 , z=-0.15508032797375243
x=1.3494437531860781 , y=5.46878070037415 , z=-0.7142224619270334
x=-1.4223949066314967 , y=4.117765315980192 , z=-2.0968688316990205
x=-2.2843125557107844 , y=3.4036649224964886 , z=-0.65061717367411
x=-0.9287501218027625 , y=3.4958113386556358 , z=0.4305125117937166
x=0.5516044075776196 , y=4.170475995665863 , z=0.7322580744291218
x=1.2093473266311505 , y=4.939095207652072 , z=-0.20643299622737216
x=1.450585087763145 , y=5.510383151716742 , z=-1.944275648258128
x=1.0770403926162533 , y=5.8650072381474 , z=-3.0649326215319275
x=-0.07861970678258075 , y=5.634999773801815 , z=-2.438019613697068
x=-0.8407082570506051 , y=4.681668119223364 , z=-1.886827187115689
x=-0.3497260901420186 , y=4.078543199282545 , z=-1.1645558372065477
x=0.41768006668859275 , y=4.536688954935214 , z=0.35266336205965987
x=0.5232311237809756 , y=4.724720133330506 , z=0.04800341533973781
x=0.7519873865824216 , y=4.6254403425142305 , z=-1.5130154672490117
x=1.464577183079909 , y=5.203968471123944 , z=-0.9924774784990165
x=1.039321243627114 , y=5.38240964744008 , z=-0.3765887769524472
x=-0.727039648476741 , y=4.181912282950394 , z=-1.252796063179117
x=-1.44364244504872 , y=3.3443701761486753 , z=-0.5945953874630969
x=-0.28817307759259003 , y=3.6409583470533646 , z=0.11926086913394492
x=0.6724292786417372 , y=4.674252461291033 , z=0.7420006620624412
x=0.31930053064187963 , y=4.732021352097215 , z=-1.383645805151756
x=0.4823076781544095 , y=5.599645700902205 , z=-1.052596186839311
x=1.1838960561967313 , y=5.486587434544994 , z=-3.20977445882133
x=1.0297541293810824 , y=5.6359000285713785 , z=-2.4826966639560486
x=-0.4391030784931038 , y=4.741252778124087 , z=-1.4394005666429834
x=-1.4182064331697173 , y=3.90772367139686 , z=-0.8657933221550327
x=-0.8412041601016355 , y=4.296046277464456 , z=-0.15253977849693542
x=0.2063643327279987 , y=5.0157465607859475 , z=0.26553701063248164
x=0.9834825600810967 , y=4.813204496189737 , z=-1.2010924481509222
x=1.7673832153167484 , y=5.022727349888914 , z=-1.1593602990872913
x=1.623044910356084 , y=5.185276740738954 , z=-0.428330538369183
x=-0.049140177718253526 , y=4.329531177325567 , z=-0.8188351178613127
x=-1.6269816176534941 , y=3.458549946328986 , z=-0.4840852998604106
x=-1.4696659113112511 , y=3.5775819371316864 , z=0.02217831029761885
x=-0.33400214878550244 , y=4.461197252012979 , z=-0.058470784355332255
x=0.4223720724791107 , y=5.014075748967861 , z=-0.9785693052370422
x=0.9983901687228398 , y=5.563925422672604 , z=-1.390351940257228
x=1.4969558376733367 , y=5.600484921450103 , z=-3.196156198112266
x=1.1199321918915244 , y=5.582090732895731 , z=-2.9549718419242286
x=-0.16776781680242123 , y=4.968071204387661 , z=-1.3653813143184228
x=-1.104299801867506 , y=4.067976649656744 , z=-0.8824327768365279
x=-0.7716709230694724 , y=4.0874160492571345 , z=-0.6511969987799301
x=0.059538883234474545 , y=4.986122075445166 , z=0.5606985066057455
x=0.622343070487672 , y=4.797594993998843 , z=-0.7053419826747361
x=1.4103711649634376 , y=4.641843289586773 , z=-1.9246989216589914
x=1.7233699122183779 , y=5.3919309860198625 , z=-0.258991090358881
x=0.4140790476103416 , y=4.5412512630046935 , z=-0.9060911670095296
x=-1.072005069328868 , y=3.572485579622636 , z=-0.6297739869754191
x=-0.9670796130085544 , y=3.4404532996052324 , z=-0.2432061147806996
x=-0.038604145203285645 , y=4.641675445477193 , z=0.1084501826214833
x=0.3728275430423247 , y=5.243465241819084 , z=-1.270900339180579
x=0.6710407500988522 , y=5.544020637132017 , z=-1.6840180977996926
x=1.2289927167296604 , y=5.334490154155132 , z=-2.6390510813070636
x=1.2296183175017295 , y=5.182766708372969 , z=-2.558386728098696
x=0.22959548334934354 , y=4.6904570471431635 , z=-1.2634389055819992
x=-0.7792315372782581 , y=3.9754869160007305 , z=-0.9033369977568841
x=-0.7431145366078324 , y=4.239032685151383 , z=-0.2737842598350017
x=-0.04887315299846796 , y=5.0805649041944685 , z=0.1728031400898063
x=0.6788455011942991 , y=5.212276754548129 , z=-0.8403496809983216
x=1.4519583577506137 , y=4.997962714448229 , z=-1.5161663589424816
x=1.609380873980771 , y=5.152844681201569 , z=-0.5336069414640721
x=0.2542761967352386 , y=4.573896942317907 , z=-0.5784823529434646
x=-1.5320734029639935 , y=3.544509018266816 , z=-0.6082899409492427
x=-1.5760180425629906 , y=3.2800782529020176 , z=-0.050955945812795424
x=0.017829622003968093 , y=4.278987212509012 , z=0.13359628194757608
x=1.2134671365935563 , y=5.268008628206233 , z=-1.1702930540430834
x=1.343256408964761 , y=5.846956367089895 , z=-1.9134762541502892
x=1.1198101234481939 , y=5.796572617105212 , z=-2.468338363309293
x=0.5818850108013036 , y=5.0941755356258245 , z=-3.7678408646177606
x=-0.42386741090990987 , y=4.826189526849024 , z=-1.829989068189903
x=-1.3633977021143013 , y=4.0072094527112565 , z=-0.8239848803143202
x=-1.037741983141525 , y=3.8337959704047972 , z=-0.29400184576162364
x=0.3322703027457503 , y=4.895135309497658 , z=0.6880692979434636
x=1.1512427476058098 , y=5.133008559160355 , z=-0.6554846528519156
x=1.263141363751381 , y=4.913590532273696 , z=-2.0891403733806553
x=1.0839448889421373 , y=5.233448000188271 , z=-0.8480933978721032
x=0.06249141370753216 , y=4.721523465970788 , z=-0.5952667639014149
x=-1.1591771964222954 , y=3.67732711388816 , z=-0.6573843430012473
x=-1.190968396632195 , y=3.2518041497155794 , z=-0.05475532611145872
x=-0.07597997669555766 , y=4.004371361403821 , z=0.27595097470411895
x=0.7905533853971665 , y=5.221332707187714 , z=-0.23346352714738025
x=0.8305994640872941 , y=5.6092204444259455 , z=-1.8800295006777192
x=0.7126432014414444 , y=5.638989886043182 , z=-2.68507088444268
x=0.7683903336549639 , y=5.308535351391974 , z=-2.8883224718657496
x=0.41685610469611156 , y=4.778071672343664 , z=-1.7145809842985784
x=-0.3830278873381336 , y=4.002418266310532 , z=-1.0097654217857053
x=-0.751239717367022 , y=4.00288365225073 , z=-0.5758578814118578
x=-0.2499732841078368 , y=4.966156255682913 , z=-0.04526450464250865
x=0.5319513882014015 , y=5.588918936444534 , z=-0.7943527656958297
x=1.0577917249585675 , y=5.321451718551888 , z=-2.2560079354135136
x=1.1902665030830442 , y=5.288561902352013 , z=-1.3627644720645242
x=0.5135190532584889 , y=4.75562633732626 , z=-0.6471077059283568
x=-0.7982360680492827 , y=3.6095104643403326 , z=-0.3683033813613863
x=-1.3376717776823885 , y=2.9739458555844207 , z=0.4476783866370748
x=-0.4487007098499681 , y=3.775950786821534 , z=0.9870072863822663
x=0.5823427674637932 , y=5.0163797908357255 , z=-0.1772738968267876
x=0.7634694495332012 , y=5.5341864981662 , z=-2.2503088649655187
x=0.6760302977199883 , y=6.13618228500621 , z=-1.5341867128891535
x=0.6603673905851375 , y=5.210132927512137 , z=-3.790522707244118
x=0.4271937759906673 , y=4.930008737901654 , z=-2.429955467159544
x=-0.3074980380273573 , y=4.2793457885612955 , z=-0.48625201472952784
x=-0.8122357926437549 , y=3.7862579410052573 , z=-0.01815768094541894
x=-0.339396048125171 , y=4.2855636498934455 , z=-0.08889634385547122
x=0.4985122640065397 , y=5.2894011228999105 , z=0.16235865890733633
x=1.0133206651977074 , y=5.14981585795143 , z=-1.52135426778403
x=1.2785372461664464 , y=5.013152606365174 , z=-2.1526846274119134
x=0.7688633488728698 , y=5.078604179823472 , z=-0.5746982312002177
x=-0.532645652472844 , y=4.1040631332163375 , z=-0.2603109554023926
x=-1.2260172984234783 , y=3.2732271615200905 , z=-0.17045332255569326
x=-0.7292368804566908 , y=3.6784104713227186 , z=-0.005897431668407076
x=-0.06741229782929485 , y=4.86545741921292 , z=-0.2576330789268287
x=0.21410804960178031 , y=5.46550774023735 , z=-1.5946945143925644
x=0.6102354067648232 , y=5.676945542641275 , z=-2.187878485479652
x=1.0587377553943793 , y=5.355638511962149 , z=-2.7854721790820554
x=0.8343759565528329 , y=4.845277979674838 , z=-1.99603266823028
x=-0.07504920481516224 , y=4.167279328306145 , z=-0.6258525382334252
x=-0.7632329419242483 , y=3.772372655576407 , z=-0.32942458216060694
x=-0.7000320053898573 , y=4.472366514577724 , z=-0.09126141994500057
x=-0.21125469973892877 , y=5.2868834612562186 , z=-0.4766467540949554
x=0.6091520493302647 , y=5.378160139756635 , z=-1.7246821479841812
x=1.563673871231189 , y=5.212650589155829 , z=-2.182286224919571
x=1.5353387338230857 , y=5.458290443525431 , z=-0.028464835129142045
x=0.07676579229949806 , y=4.07897806811191 , z=-0.41873290701231874
x=-1.1896256437555588 , y=3.0084988543246736 , z=0.022010466188039347
x=-0.9992751649369863 , y=3.0206065180475226 , z=0.07578924475285367
x=-0.15586614357769285 , y=4.7028927698074625 , z=0.9241496673447425
x=0.2878068722625984 , y=5.1809127938898865 , z=-1.818308644018711
x=0.812334973253961 , y=5.963829272301186 , z=-2.060187264478191
x=1.2434349394312059 , y=5.603628183865864 , z=-3.3937392321981736
x=1.0480491373252483 , y=5.249568663985611 , z=-2.4866715176419993
x=0.22899277041039895 , y=4.380426088916697 , z=-1.380960299398484
x=-0.40178065194478896 , y=3.9393622860525963 , z=-0.7319605325985036
x=-0.4856340432351669 , y=4.356149727249335 , z=-0.3775424366659671
x=-0.21135388034913485 , y=5.221553956241251 , z=-0.21445899637635565
x=0.43311409549219887 , y=5.189236335869489 , z=-1.7070661457560414
x=1.4045271382389877 , y=5.164212304986727 , z=-1.95960286717382
x=1.601721079161779 , y=5.303027012886683 , z=-0.2553519248920891
x=0.3711338433911134 , y=4.232685126098194 , z=-0.3161420096707017
x=-0.944207038439493 , y=3.1625110834192838 , z=-0.21432929865531694
x=-0.9975433188972341 , y=3.267497573961263 , z=0.3726825867658697
x=-0.2512244856519749 , y=4.307444418360446 , z=0.24397667182922367
x=0.4647221930371025 , y=5.208439227860925 , z=-1.1745273031711116
x=1.1158657868730755 , y=5.912186691494656 , z=-2.0778795594834123
x=1.350824652451255 , y=5.799631957466183 , z=-3.4324044116231245
x=0.8242595343118139 , y=5.382249432608209 , z=-2.91285822897519
