x=-0.20489502 , y=6.211731 , z=7.268509
x=-0.03703308 , y=6.29747 , z=7.259796
x=0.027252197 , y=6.215378 , z=7.3602753
x=-0.12214661 , y=6.103775 , z=7.6138153
x=-0.20776367 , y=6.034775 , z=7.5848083
x=-0.08459473 , y=6.2097015 , z=7.4579315
x=-0.112960815 , y=6.1617737 , z=7.1874084
x=-0.17312622 , y=6.228836 , z=7.372818
x=-0.1104126 , y=6.187683 , z=7.3447723
x=-0.19541931 , y=6.1291656 , z=7.481888
x=-0.31672668 , y=6.0575256 , z=7.548401
x=-0.27241516 , y=6.104843 , z=7.5345917
x=-0.17211914 , y=6.1913147 , z=7.4228973
x=-0.21476746 , y=6.2442474 , z=7.2893524
x=-0.22871399 , y=6.272522 , z=7.257721
x=-0.18876648 , y=6.2391815 , z=7.2715454
x=-0.22216797 , y=6.171753 , z=7.3720703
x=-0.23512268 , y=6.1256866 , z=7.455261
x=-0.20159912 , y=6.1533356 , z=7.4327393
x=-0.19744873 , y=6.1711426 , z=7.375
x=-0.20300293 , y=6.1836395 , z=7.350525
x=-0.15383911 , y=6.182068 , z=7.3204346
x=-0.1559906 , y=6.1271515 , z=7.3765106
x=-0.2587433 , y=6.017395 , z=7.4737244
x=-0.23146057 , y=5.7785034 , z=7.383316
x=-0.2068634 , y=6.3198853 , z=8.112549
x=-0.24351501 , y=6.1192627 , z=7.135895
x=-0.15184021 , y=6.0978394 , z=7.035721
x=-0.056411743 , y=6.331238 , z=7.819931
x=-0.17199707 , y=5.861023 , z=7.5530396
x=-0.11383057 , y=6.2698975 , z=7.696213
x=-0.039916992 , y=6.231674 , z=6.9817505
x=-0.115615845 , y=6.2878723 , z=7.2460938
x=-0.030578613 , y=6.2963715 , z=7.376343
x=0.11854553 , y=6.389435 , z=7.253769
x=-0.017166138 , y=6.3149567 , z=7.0938263
x=-0.1558075 , y=6.2112274 , z=7.3464813
x=0.028305054 , y=6.164734 , z=7.5048065
x=0.15620422 , y=6.193329 , z=7.5286865
x=0.066207886 , y=6.1791687 , z=7.3476105
x=-0.010864258 , y=6.1150055 , z=7.365921
x=-0.027328491 , y=6.065628 , z=7.607193
x=-0.04208374 , y=5.9962463 , z=7.6958923
x=1.6784668E-4 , y=6.0383453 , z=7.560364
x=0.11987305 , y=6.178177 , z=7.3840637
x=0.101135254 , y=6.238449 , z=7.291214
x=0.0055236816 , y=6.3147736 , z=7.2730713
x=0.010894775 , y=6.357971 , z=7.1026306
x=0.026306152 , y=6.356659 , z=7.0385437
x=0.017196655 , y=6.306839 , z=7.216156
x=2.4414062E-4 , y=6.2120056 , z=7.3474274
x=-0.07495117 , y=6.2109375 , z=7.371048
x=-0.18870544 , y=6.1431274 , z=7.247711
x=-0.17416382 , y=6.0361176 , z=7.214386
x=-0.021408081 , y=6.003067 , z=7.5822754
x=0.2693329 , y=6.305847 , z=8.816742
x=0.6048126 , y=5.937546 , z=6.9196777
x=0.29663086 , y=6.551239 , z=6.285248
x=-0.651886 , y=6.949417 , z=6.489975
x=-1.1875153 , y=6.582733 , z=7.0499268
x=0.081970215 , y=5.499237 , z=7.7161713
x=1.3534241 , y=5.6371613 , z=8.651779
x=0.43936157 , y=5.9654083 , z=8.054565
x=-1.0627594 , y=6.128601 , z=6.9228973
x=-0.6729126 , y=6.516342 , z=6.667618
x=0.5788574 , y=6.370682 , z=6.8771057
x=0.7080078 , y=6.0858 , z=7.956436
x=-0.0736084 , y=5.7780457 , z=8.105911
x=-0.536438 , y=5.968811 , z=7.6501007
x=-0.41906738 , y=6.4154053 , z=6.9111786
x=0.18952942 , y=6.847534 , z=6.343155
x=0.8216095 , y=6.9761505 , z=6.386963
x=0.7133484 , y=6.520767 , z=6.9679413
x=-0.046661377 , y=5.9337616 , z=7.9164276
x=-0.5726166 , y=5.6107635 , z=8.312485
x=-0.39523315 , y=5.7820587 , z=8.16835
x=0.10803223 , y=6.0058136 , z=7.5306854
x=0.62716675 , y=6.5239105 , z=7.157028
x=0.7350311 , y=6.866165 , z=6.763565
x=0.18106079 , y=6.713272 , z=6.45166
x=-0.38974 , y=6.4498444 , z=7.048294
x=-0.28494263 , y=6.118637 , z=7.514557
x=0.23379517 , y=6.0848694 , z=7.507904
x=0.4993286 , y=6.505127 , z=7.763092
x=0.5048065 , y=6.612503 , z=7.043762
x=0.48617554 , y=6.665756 , z=6.42749
x=0.16499329 , y=6.606201 , z=6.8624573
x=-0.24681091 , y=6.3581543 , z=7.550003
x=0.017456055 , y=5.900696 , z=8.026596
x=0.7668915 , y=5.9143677 , z=8.173599
x=0.78741455 , y=6.427719 , z=7.831604
x=-0.16569519 , y=6.5339355 , z=6.3230896
x=-0.6601105 , y=6.967743 , z=6.484421
x=0.13624573 , y=6.6026306 , z=6.4709167
x=1.0008545 , y=6.587509 , z=7.5616913
x=0.6686249 , y=6.2355804 , z=7.506012
x=-0.23939514 , y=6.2646637 , z=7.500641
x=-0.32829285 , y=6.412262 , z=7.268997
x=0.3615265 , y=6.552063 , z=6.944931
x=0.6831207 , y=6.6676483 , z=6.9944305
x=0.3287506 , y=6.506851 , z=7.0700226
x=0.029266357 , y=6.3094177 , z=7.1630554
x=0.03704834 , y=6.201584 , z=7.616287
x=0.23892212 , y=6.1195984 , z=7.8257904
x=0.5282593 , y=6.045059 , z=7.623825
x=0.53089905 , y=6.232483 , z=7.721039
x=0.012313843 , y=6.2457733 , z=7.3136597
x=-0.34951782 , y=6.353256 , z=7.0540924
x=-0.066970825 , y=6.4626617 , z=7.047394
x=0.17922974 , y=6.4096375 , z=6.8817596
x=-0.062286377 , y=6.3717804 , z=7.4505463
x=-0.11087036 , y=6.21196 , z=7.3966064
x=0.17036438 , y=6.3628235 , z=7.071701
x=0.09613037 , y=6.543686 , z=7.1662445
x=-0.28845215 , y=6.3081512 , z=7.115326
x=-0.084869385 , y=6.249161 , z=7.3700256
x=0.3405304 , y=6.2141113 , z=7.5651703
x=0.14622498 , y=6.0350647 , z=7.672058
x=-0.27667236 , y=5.9357452 , z=7.8305817
x=-0.287323 , y=5.995758 , z=7.6180573
x=-0.08935547 , y=6.1713867 , z=7.3715363
x=0.042541504 , y=6.293991 , z=7.2067413
x=0.12106323 , y=6.358307 , z=7.0707855
x=0.028198242 , y=6.3229675 , z=7.150772
x=-0.19839478 , y=6.219208 , z=7.3271484
x=-0.15245056 , y=6.1992493 , z=7.355423
x=0.16766357 , y=6.30188 , z=7.2416534
x=0.30619812 , y=6.3611145 , z=7.186508
x=0.19920349 , y=6.3340607 , z=7.175827
x=0.055099487 , y=6.320862 , z=7.179291
x=-0.061416626 , y=6.2721252 , z=7.2246246
x=0.021316528 , y=6.19545 , z=7.414276
x=0.43000793 , y=6.238678 , z=7.5019836
x=0.6433258 , y=6.329651 , z=7.394699
x=0.42720032 , y=6.3471985 , z=7.378769
x=0.18629456 , y=6.345566 , z=7.3015594
x=0.22419739 , y=6.4470367 , z=7.2336273
x=0.38771057 , y=6.42453 , z=7.264969
x=0.49189758 , y=6.4308624 , z=7.213516
x=0.5674286 , y=6.4533234 , z=7.210541
x=0.37750244 , y=6.422577 , z=7.202423
x=0.08111572 , y=6.338974 , z=7.2010956
x=0.06867981 , y=6.275528 , z=7.239792
x=0.31672668 , y=6.2706146 , z=7.2566223
x=0.43637085 , y=6.251877 , z=7.3606415
x=0.30259705 , y=6.2305756 , z=7.4068146
x=0.1387024 , y=6.226532 , z=7.351776
x=0.08685303 , y=6.205597 , z=7.3505096
x=0.19345093 , y=6.2066956 , z=7.403015
x=0.3730011 , y=6.241791 , z=7.418442
x=0.37446594 , y=6.2789764 , z=7.3447876
x=0.16757202 , y=6.31723 , z=7.2723236
x=0.027282715 , y=6.3511505 , z=7.2238007
x=0.07850647 , y=6.3552246 , z=7.195389
x=0.24472046 , y=6.3493958 , z=7.2607574
x=0.30549622 , y=6.3223877 , z=7.306198
x=0.13500977 , y=6.306595 , z=7.2975006
x=-0.07723999 , y=6.2878876 , z=7.2963715
x=-0.13536072 , y=6.285187 , z=7.2427063
x=0.022476196 , y=6.3244324 , z=7.2671814
x=0.22512817 , y=6.3225403 , z=7.3118896
x=0.19519043 , y=6.2569885 , z=7.3988953
x=0.06391907 , y=6.20578 , z=7.5116577
x=-0.024368286 , y=6.173538 , z=7.4048157
x=-0.07749939 , y=6.2323456 , z=7.358032
x=0.024917603 , y=6.225952 , z=7.3197784
x=0.22824097 , y=6.3065796 , z=7.2758636
x=0.24287415 , y=6.2951355 , z=7.2796783
x=0.077697754 , y=6.251236 , z=7.305954
x=0.007537842 , y=6.236664 , z=7.334854
x=0.08905029 , y=6.2732697 , z=7.333252
x=0.22615051 , y=6.306549 , z=7.3069763
x=0.28370667 , y=6.329651 , z=7.3199005
x=0.2337799 , y=6.3479614 , z=7.2922363
x=0.12213135 , y=6.3567657 , z=7.2807007
x=0.0967865 , y=6.3397217 , z=7.2655334
x=0.2434845 , y=6.363571 , z=7.27359
x=0.39830017 , y=6.4090424 , z=7.287842
x=0.36984253 , y=6.406372 , z=7.235153
x=0.1860199 , y=6.4125214 , z=7.20578
x=0.077682495 , y=6.4087067 , z=7.170456
x=0.11601257 , y=6.387192 , z=7.197235
x=0.24841309 , y=6.372635 , z=7.2881165
x=0.29492188 , y=6.3291473 , z=7.284897
x=0.22364807 , y=6.347458 , z=7.248993
x=0.082977295 , y=6.3268433 , z=7.2423706
x=0.02607727 , y=6.243698 , z=7.2318573
x=0.14654541 , y=6.259323 , z=7.3884277
x=0.23100281 , y=6.2365417 , z=7.3843994
x=0.18447876 , y=6.228241 , z=7.4382477
x=0.11582947 , y=6.2755585 , z=7.451111
x=-0.0020446777 , y=6.1925507 , z=7.2616425
x=-0.05291748 , y=6.256195 , z=7.422867
x=0.026779175 , y=6.242508 , z=7.422653
x=0.17224121 , y=6.3145905 , z=7.33667
x=0.22076416 , y=6.3519135 , z=7.168686
x=0.07028198 , y=6.4199066 , z=7.1334686
x=-0.10798645 , y=6.3189697 , z=7.2486725
x=-0.018753052 , y=6.217758 , z=7.406372
x=0.21534729 , y=6.2381287 , z=7.3455505
x=0.1433258 , y=6.272583 , z=7.3449554
x=-0.09617615 , y=6.228943 , z=7.3564453
x=-0.068862915 , y=6.219574 , z=7.400299
x=0.032562256 , y=6.2000885 , z=7.3966064
x=-0.044540405 , y=6.2033234 , z=7.3560486
x=-0.091934204 , y=6.277115 , z=7.260803
x=-0.040298462 , y=6.361374 , z=7.0638885
x=-0.03137207 , y=6.3731384 , z=7.0839996
x=0.029907227 , y=6.3270264 , z=7.19751
x=0.18502808 , y=6.2364197 , z=7.3766937
x=0.20643616 , y=6.1509705 , z=7.5740356
x=0.06617737 , y=6.051651 , z=7.5954285
x=0.04437256 , y=6.0879364 , z=7.5999603
x=0.12487793 , y=6.1761017 , z=7.4981537
x=0.13839722 , y=6.194092 , z=7.3968353
x=0.092056274 , y=6.2599945 , z=7.353424
x=0.15693665 , y=6.360092 , z=7.136215
x=0.0814209 , y=6.383621 , z=7.0702667
x=-0.0038146973 , y=6.378784 , z=7.1196594
x=0.01928711 , y=6.355057 , z=7.1465454
x=0.11746216 , y=6.3686066 , z=7.22316
x=0.20645142 , y=6.34433 , z=7.298172
x=0.26782227 , y=6.304413 , z=7.3543396
x=0.24424744 , y=6.266754 , z=7.3613586
x=0.13529968 , y=6.218384 , z=7.420227
x=0.09559631 , y=6.2016907 , z=7.44664
x=0.18876648 , y=6.229019 , z=7.410568
x=0.23442078 , y=6.2729187 , z=7.338272
x=0.161026 , y=6.335495 , z=7.214966
x=0.1401825 , y=6.3670197 , z=7.1490936
x=0.18409729 , y=6.3628693 , z=7.1957397
x=0.2288971 , y=6.324127 , z=7.303543
x=0.2528534 , y=6.289627 , z=7.351883
x=0.2740326 , y=6.3177643 , z=7.334366
x=0.2025299 , y=6.3475037 , z=7.2630005
x=0.12184143 , y=6.3193207 , z=7.249222
x=0.12364197 , y=6.3090057 , z=7.283844
x=0.20654297 , y=6.3018036 , z=7.3216553
x=0.20455933 , y=6.2614746 , z=7.4014893
x=0.18395996 , y=6.2269745 , z=7.4231415
x=0.17955017 , y=6.2167664 , z=7.360138
x=0.15405273 , y=6.253067 , z=7.3962708
x=0.11238098 , y=6.2856293 , z=7.302185
x=0.09599304 , y=6.2990417 , z=7.279114
x=0.099349976 , y=6.3356934 , z=7.237976
x=0.029174805 , y=6.332657 , z=7.2136536
x=0.0491333 , y=6.328491 , z=7.2224426
x=0.14361572 , y=6.336548 , z=7.272003
x=0.18171692 , y=6.3229675 , z=7.281906
x=0.19865417 , y=6.337158 , z=7.293228
x=0.16035461 , y=6.3311462 , z=7.2643127
x=0.08918762 , y=6.3120117 , z=7.2987823
x=0.02482605 , y=6.273758 , z=7.361603
x=0.03807068 , y=6.213257 , z=7.3401184
x=0.0834198 , y=6.2344666 , z=7.3542175
x=0.07196045 , y=6.274292 , z=7.365265
x=0.047225952 , y=6.2276 , z=7.2393494
x=0.17927551 , y=7.1788483 , z=9.306854
x=0.10606384 , y=5.8283386 , z=7.1391144
x=-0.17675781 , y=5.323471 , z=4.2245636
x=0.3092041 , y=7.2167206 , z=7.959656
x=0.44981384 , y=7.324402 , z=7.553787
x=-0.69595337 , y=5.409912 , z=4.489792
x=-0.28752136 , y=6.406006 , z=9.791092
x=1.8871765 , y=6.0134277 , z=8.214294
x=1.6141968 , y=5.721588 , z=6.4251556
x=-1.1790161 , y=6.0875244 , z=7.596695
x=-1.3861847 , y=6.5931244 , z=6.413269
x=-0.12637329 , y=6.901703 , z=6.479706
x=-0.74290466 , y=5.761017 , z=6.7454834
x=0.08476257 , y=5.1623077 , z=9.362808
x=2.1167603 , y=6.2460785 , z=10.553284
x=0.6791992 , y=5.963516 , z=6.3178864
x=-1.7025299 , y=6.7435913 , z=5.3207855
x=-0.5363159 , y=7.645233 , z=5.9367523
x=1.4341431 , y=7.307968 , z=6.250763
x=0.8895111 , y=5.926956 , z=7.572006
x=-0.138443 , y=5.4199524 , z=8.957626
x=-0.2766266 , y=5.885208 , z=8.288284
x=-0.40068054 , y=6.4996643 , z=6.8111877
x=-0.32156372 , y=6.6964264 , z=5.9726105
x=0.49165344 , y=6.5281677 , z=6.348236
x=0.938324 , y=6.0448 , z=7.936722
x=0.22135925 , y=5.3152924 , z=9.253799
x=-0.52137756 , y=5.35849 , z=9.447983
x=-0.3089447 , y=6.162857 , z=7.883957
x=0.2434845 , y=6.969391 , z=6.0625763
x=0.3470459 , y=7.402298 , z=5.621048
x=0.1737976 , y=7.048355 , z=5.2108154
x=-0.14393616 , y=6.8227386 , z=6.335129
x=-0.5674896 , y=6.3888855 , z=7.7023926
x=-0.3336792 , y=6.066452 , z=8.180328
x=0.6523895 , y=6.0762787 , z=7.9865875
x=1.308548 , y=6.4694214 , z=8.12471
x=0.88150024 , y=6.48468 , z=7.7921295
x=0.020721436 , y=6.065933 , z=6.9806976
x=-0.46540833 , y=5.743454 , z=7.258301
x=-0.39042664 , y=5.344513 , z=8.069641
x=0.18611145 , y=5.267746 , z=8.176804
x=0.44766235 , y=5.5726013 , z=8.078903
x=-0.24681091 , y=5.898926 , z=7.1053314
x=-0.87971497 , y=6.658737 , z=6.4000244
x=-0.52931213 , y=7.1961365 , z=5.7123566
x=0.23762512 , y=7.2136536 , z=5.744751
x=0.6269226 , y=6.6827087 , z=7.019333
x=0.68003845 , y=6.192581 , z=7.8116302
x=0.48394775 , y=6.5720673 , z=8.579605
x=-0.15653992 , y=6.6570587 , z=7.2631073
x=-0.48892212 , y=6.8543854 , z=6.151703
x=0.23124695 , y=7.1988525 , z=6.711014
x=0.9226837 , y=6.640274 , z=6.9916687
x=0.4813385 , y=5.5737915 , z=8.097366
x=-0.023345947 , y=5.216614 , z=9.065216
x=0.19659424 , y=5.8828125 , z=9.228577
x=0.045837402 , y=6.0487213 , z=7.192749
x=-0.16471863 , y=6.247772 , z=5.7345276
x=0.53344727 , y=6.825119 , z=7.0102234
x=0.3528595 , y=6.5199127 , z=7.9618073
x=-1.1055908 , y=5.4481354 , z=7.1472626
x=-0.9261017 , y=6.0052643 , z=7.6145935
x=0.6390991 , y=6.550247 , z=7.549423
x=1.0125427 , y=6.3944397 , z=7.1515656
x=0.6820679 , y=6.2766266 , z=6.938843
x=0.32435608 , y=6.5840607 , z=6.6565247
x=-0.68151855 , y=6.522888 , z=6.628784
x=-0.78282166 , y=6.075241 , z=6.754547
x=0.8400421 , y=5.9502716 , z=7.6709747
x=1.5553284 , y=5.7706146 , z=8.198685
x=0.43321228 , y=5.8203278 , z=8.422714
x=-0.5327301 , y=6.1896515 , z=7.617874
x=-0.50805664 , y=6.6523285 , z=6.3683014
x=-0.19259644 , y=6.8491364 , z=6.626465
x=0.33537292 , y=6.57518 , z=7.199295
