x=0.08408226962162275 , y=4.812250836476217 , z=-0.5899033816725789
x=0.059981381341547776 , y=4.816317241494666 , z=-0.6085111900027793
x=0.01658604973753814 , y=4.7965955586190745 , z=-0.6102735531533641
x=0.0038146388540796095 , y=4.7855865108862 , z=-0.5991653248102843
x=0.02774005374686692 , y=4.787119995705541 , z=-0.5806643263679981
x=0.05271067968567204 , y=4.780703773152979 , z=-0.5628194458086138
x=0.06677906777951764 , y=4.786845341708047 , z=-0.5486061014383131
x=0.05378640784252249 , y=4.781169159093176 , z=-0.5537329760581962
x=0.027282297084377367 , y=4.782923892966053 , z=-0.5761401646870598
x=0.010726764457671862 , y=4.791400020499818 , z=-0.5758197350233171
x=0.018401817832080034 , y=4.789408779017989 , z=-0.6027358267777028
x=0.03188275154239738 , y=4.799853260200458 , z=-0.587507788472217
x=0.04074034296157023 , y=4.802050492180408 , z=-0.5862336990949544
x=0.02998306139306573 , y=4.811938036090183 , z=-0.6012557469023199
x=0.015601872913185603 , y=4.817896501980255 , z=-0.5983566213732193
x=0.009925690298315144 , y=4.802309887622486 , z=-0.5943359920210195
x=0.007141003934837029 , y=4.772372601895669 , z=-0.5550452118239995
x=0.006080534333402898 , y=4.743678888435282 , z=-0.5758349935787334
x=0.0015640019301726398 , y=4.741535061399289 , z=-0.5547247821602568
x=-0.0019912414818295562 , y=4.740131274300988 , z=-0.5477439930572912
x=0.0021743441468253773 , y=4.753429105346309 , z=-0.5654057709516798
x=0.009803621854984595 , y=4.783572381571247 , z=-0.6034224617714371
x=0.010803057234753454 , y=4.788462748582177 , z=-0.6397988578839403
x=0.005828768169033644 , y=4.78911123718737 , z=-0.6322992778968197
x=0.0028686084182678664 , y=4.776644997412238 , z=-0.6329096201134725
x=0.0023498175341130395 , y=4.7693742957563625 , z=-0.5998290719708941
x=0.0031127453049289615 , y=4.7600589476746995 , z=-0.5840898720589617
x=0.01161938994952649 , y=4.770068560027805 , z=-0.5715931151729968
x=0.010383446960804697 , y=4.7671389173878715 , z=-0.6010573856819077
x=0.004730152179058715 , y=4.768977573315538 , z=-0.6434685404615649
x=-0.01913422849206332 , y=4.765384183514995 , z=-0.65521762813213
x=-0.02020995664891377 , y=4.782695014634808 , z=-0.6718189364250845
x=-0.004676747235101602 , y=4.795939440736173 , z=-0.6854753435226895
x=0.009467933635825591 , y=4.825510521132998 , z=-0.6578573582191531
x=0.0456841149164574 , y=4.855554616747729 , z=-0.6265773196157003
x=0.06072142127923922 , y=4.812601783250792 , z=-0.8149747033409841
x=0.056029415488721306 , y=4.788455119304468 , z=-0.8511527382330751
x=0.04775164917536855 , y=4.759982654897618 , z=-0.7312510097716448
x=0.04629445713311014 , y=4.756435040763324 , z=-0.6322077265643218
x=0.03814638854079609 , y=4.773204193165858 , z=-0.5550070654354587
x=0.004348688293650755 , y=4.738758004313519 , z=-0.5938095718591565
x=0.014053129538429281 , y=4.742656565222389 , z=-0.5444481450873664
x=0.06759540049429068 , y=4.747180726903327 , z=-0.5088575645788036
x=0.08269374107873777 , y=4.716984045734433 , z=-0.5453636584123455
x=0.0425789988892366 , y=4.74045170396473 , z=-0.5025100055256151
x=0.007476692153996035 , y=4.788897617411542 , z=-0.5274043386873386
x=0.00547019211675016 , y=4.840166363610372 , z=-0.614584095058474
x=0.00370782896616538 , y=4.870675845165301 , z=-0.7164502110178159
x=0.004043517185324386 , y=4.840334207719951 , z=-0.797671501498879
x=0.008376946923558823 , y=4.774592721708743 , z=-0.7832750544635825
x=-0.0023803346449456763 , y=4.712963416382233 , z=-0.6839800050918903
x=-0.053168436348161596 , y=4.677777187592203 , z=-0.5640401302419192
x=-0.09857789726712526 , y=4.7096828269677244 , z=-0.5242076713276199
x=-0.086729628986354 , y=4.765666466790197 , z=-0.5957245205639045
x=-0.022605549849275767 , y=4.806971376302171 , z=-0.6573080502241656
x=0.019408882489557053 , y=4.802691351507893 , z=-0.6717884193142518
x=-0.005332865118003294 , y=4.7592578735153435 , z=-0.6299570896404149
x=-0.13340555000487211 , y=4.702480788811222 , z=-0.5796420031551048
x=-0.2573660542070431 , y=4.673710782573754 , z=-0.5301813957731086
x=-0.24414451593880315 , y=4.732440962371164 , z=-0.49756623357072793
x=-0.08795794269736763 , y=4.793017427373948 , z=-0.6713459212071786
x=0.047705873509119597 , y=4.8537617364863115 , z=-0.7836870354598231
x=0.07413369149018313 , y=4.884713716148314 , z=-0.7768130562447717
x=-0.027305184917501845 , y=4.841020842713686 , z=-0.7546805216134018
x=-0.14862595903264975 , y=4.758945073129309 , z=-0.7340433254128311
x=-0.23277689215364591 , y=4.684918191527039 , z=-0.6556677555169115
x=-0.17043806400027695 , y=4.693508758226427 , z=-0.5898270888954974
x=-0.03262279148008882 , y=4.751659112918016 , z=-0.6784640373088912
x=0.06040099161549654 , y=4.81236527564184 , z=-0.8074674940761554
x=0.0619039593240039 , y=4.880204813022791 , z=-0.7657658621233571
x=0.021415382526802928 , y=4.915917461974685 , z=-0.6319941067884933
x=-0.039428107195766844 , y=4.846353707831689 , z=-0.5946411631293458
x=-0.059737244454886686 , y=4.67268845936086 , z=-0.6044142678734978
x=0.05318369490357792 , y=4.581777986190435 , z=-0.4855653797357935
x=0.18125637979044673 , y=4.612195916412866 , z=-0.47597537765663733
x=0.12891953471247447 , y=4.737583095546463 , z=-0.5257793025355008
x=0.0023421882564048802 , y=4.827593313947325 , z=-0.705334353397028
