x=-0.040420532 , y=9.5655365 , z=-1.3436584
x=-0.009353638 , y=9.592026 , z=-1.3709717
x=0.018936157 , y=9.651169 , z=-1.3157349
x=0.09136963 , y=9.711258 , z=-1.2531738
x=0.1214447 , y=9.625351 , z=-1.6299744
x=0.11206055 , y=9.577057 , z=-1.7023315
x=0.09550476 , y=9.520111 , z=-1.4625244
x=0.09259033 , y=9.513016 , z=-1.2644348
x=0.076293945 , y=9.546555 , z=-1.1100311
x=0.00869751 , y=9.477661 , z=-1.1876373
x=0.02810669 , y=9.485458 , z=-1.088913
x=0.13519287 , y=9.494507 , z=-1.0177307
x=0.16539001 , y=9.434113 , z=-1.090744
x=0.0851593 , y=9.481049 , z=-1.0050354
x=0.014953613 , y=9.577942 , z=-1.0548248
x=0.010940552 , y=9.680481 , z=-1.229187
x=0.0074157715 , y=9.741501 , z=-1.4329224
x=0.008087158 , y=9.680817 , z=-1.5953674
x=0.01675415 , y=9.549332 , z=-1.5665741
x=-0.004760742 , y=9.426071 , z=-1.367981
x=-0.1063385 , y=9.355698 , z=-1.1280975
x=-0.19715881 , y=9.41951 , z=-1.0484314
x=-0.17346191 , y=9.531479 , z=-1.1914673
x=-0.045211792 , y=9.61409 , z=-1.3146362
x=0.03881836 , y=9.60553 , z=-1.3435974
x=-0.010665894 , y=9.5186615 , z=-1.2599335
x=-0.2668152 , y=9.405106 , z=-1.1593018
x=-0.51474 , y=9.347565 , z=-1.060379
x=-0.4882965 , y=9.465027 , z=-0.9951477
x=-0.17591858 , y=9.586182 , z=-1.3427124
x=0.09541321 , y=9.707672 , z=-1.5673981
x=0.14826965 , y=9.769577 , z=-1.5536499
x=-0.054611206 , y=9.68219 , z=-1.5093842
x=-0.29725647 , y=9.518036 , z=-1.4681091
x=-0.4655609 , y=9.36998 , z=-1.3113556
x=-0.34088135 , y=9.387161 , z=-1.1796722
x=-0.06524658 , y=9.503464 , z=-1.3569489
x=0.12080383 , y=9.624878 , z=-1.6149597
x=0.123809814 , y=9.760559 , z=-1.5315552
x=0.04283142 , y=9.831985 , z=-1.2640076
x=-0.07885742 , y=9.692856 , z=-1.1893005
x=-0.11947632 , y=9.34552 , z=-1.208847
x=0.10636902 , y=9.163696 , z=-0.97114563
x=0.3625183 , y=9.224533 , z=-0.95196533
x=0.25784302 , y=9.475311 , z=-1.0515747
x=0.0046844482 , y=9.655334 , z=-1.4106903
x=0.02746582 , y=9.83519 , z=-1.6821442
x=0.24275208 , y=9.86084 , z=-1.8567963
x=0.38023376 , y=9.783386 , z=-1.6405792
x=0.3398285 , y=9.633453 , z=-1.3932495
x=0.2207489 , y=9.550308 , z=-1.2144775
x=0.0178833 , y=9.493286 , z=-1.0971527
x=-0.09503174 , y=9.443359 , z=-0.98602295
x=0.15766907 , y=9.432587 , z=-1.0479126
x=0.47612 , y=9.506805 , z=-1.05513
x=0.16181946 , y=9.464218 , z=-1.2786102
x=-0.4621277 , y=9.415649 , z=-1.4377289
x=-0.57055664 , y=9.612549 , z=-1.1948242
x=-0.007675171 , y=9.779449 , z=-0.99949646
x=0.60343933 , y=9.909561 , z=-1.0730896
x=0.88101196 , y=9.751846 , z=-1.4527435
x=0.74624634 , y=9.545074 , z=-1.6228485
x=0.14118958 , y=9.425369 , z=-1.552948
x=-0.6170502 , y=9.399246 , z=-1.3765564
x=-0.8430939 , y=9.585724 , z=-1.0961304
x=-0.20562744 , y=9.688583 , z=-0.9572296
x=0.80215454 , y=9.644394 , z=-0.78564453
x=1.3445282 , y=9.508331 , z=-0.9474182
x=0.7928009 , y=9.473251 , z=-1.3192596
x=-0.45143127 , y=9.423004 , z=-1.5144043
x=-1.1041412 , y=9.424255 , z=-1.2649994
x=-0.47302246 , y=9.529404 , z=-1.0667572
x=0.6920471 , y=9.72435 , z=-1.08107
x=1.124649 , y=9.934097 , z=-1.1021118
x=0.43255615 , y=9.961716 , z=-1.2584229
x=-0.60435486 , y=9.694641 , z=-1.493454
x=-0.95147705 , y=9.320999 , z=-1.3476562
x=-0.2815857 , y=9.118759 , z=-0.7153473
x=0.7340698 , y=9.155884 , z=-0.39271545
x=1.1970062 , y=9.490234 , z=-0.5187073
x=0.66726685 , y=9.798309 , z=-1.2501984
x=-0.22033691 , y=9.954193 , z=-1.8943024
x=-0.63414 , y=10.06163 , z=-1.8934937
x=-0.49363708 , y=9.830063 , z=-2.0646973
x=0.045074463 , y=9.641739 , z=-1.4662323
x=0.757843 , y=9.478058 , z=-0.88931274
x=1.0147095 , y=9.384125 , z=-0.7540283
x=0.49661255 , y=9.370346 , z=-0.7890167
x=-0.23672485 , y=9.310989 , z=-1.0655365
