x,y,z,latitude,longitude,speed,sound,light,time,timestamp
-1.492 ,4.466 ,15.561,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:44 AM,1572669944999
-3.861 ,2.734 ,6.039,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:44 AM,1572669944999
-2.124 ,0.409 ,10.753,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945001
-2.886 ,3.125 ,5.006,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945002
0.803 ,7.084 ,10.173,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945006
0.42 ,10.263 ,3.807,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945007
1.088 ,11.387 ,7.28,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945012
-2.584 ,11.395 ,2.718,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945012
-3.384 ,10.336 ,1.805,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945017
-5.665 ,8.239 ,-2.061,23.555988333333335,87.29864500000001 ,49.33982963562012,88.03259900225216 ,50920.0,10:15:45 AM,1572669945018
-4.199 ,6.67 ,2.125,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945022
-5.044 ,9.154 ,-3.356,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945022
0.951 ,11.145 ,2.971,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945027
1.701 ,11.657 ,-3.424,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945027
3.651 ,9.617 ,1.587,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945031
1.19 ,9.153 ,-3.461,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945032
1.471 ,7.349 ,2.623,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945037
-2.123 ,5.771 ,0.841,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945037
-1.107 ,4.511 ,8.516,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945041
-2.368 ,6.108 ,3.961,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945042
0.951 ,7.309 ,9.67,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945048
1.572 ,6.899 ,5.065,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945048
2.514 ,5.264 ,11.169,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945053
-0.161 ,4.964 ,8.611,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945053
-0.78 ,4.339 ,13.962,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945056
-3.065 ,1.88 ,13.063,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945056
-3.073 ,0.536 ,15.512,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945063
-3.093 ,1.571 ,10.015,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945063
-0.484 ,4.216 ,10.821,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945067
0.542 ,3.92 ,13.143,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945068
-0.348 ,4.842 ,11.623,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945071
-1.251 ,3.673 ,13.854,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945072
-2.884 ,2.567 ,13.065,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945077
-4.876 ,-1.065 ,11.216,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945078
-5.118 ,-1.026 ,8.957,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945082
-3.892 ,1.407 ,8.376,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945083
-2.67 ,5.536 ,9.895,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945086
-1.122 ,7.274 ,14.051,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945087
-1.429 ,8.998 ,13.89,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945092
-1.377 ,7.881 ,15.042,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945093
-3.442 ,5.962 ,8.138,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945099
-1.019 ,3.244 ,6.621,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945099
-2.113 ,5.116 ,2.203,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945100
1.495 ,8.648 ,2.829,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945101
1.912 ,12.226 ,-0.411,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945106
2.602 ,11.442 ,2.285,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945106
-1.517 ,10.703 ,-0.22,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945110
-1.996 ,8.418 ,2.072,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945111
-5.632 ,5.739 ,-1.36,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945118
-4.833 ,3.512 ,3.317,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945118
-5.759 ,6.068 ,0.617,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945121
-1.196 ,8.244 ,5.296,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945122
-0.206 ,9.05 ,-0.515,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945126
2.882 ,6.414 ,1.752,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945127
2.531 ,6.316 ,1.286,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945133
3.317 ,6.092 ,7.962,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945134
0.76 ,6.725 ,9.138,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945137
2.224 ,4.926 ,17.823,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945137
-0.905 ,4.713 ,9.646,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945142
2.102 ,3.92 ,12.783,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945143
0.628 ,4.274 ,3.292,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945147
1.621 ,3.836 ,6.735,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945147
-1.852 ,4.023 ,3.157,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945151
-1.796 ,3.837 ,8.406,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945152
-4.431 ,2.998 ,6.847,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945158
-3.695 ,2.275 ,11.622,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945159
-4.316 ,2.881 ,8.037,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945161
-0.513 ,4.296 ,12.244,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945161
-0.206 ,5.041 ,6.833,23.555988333333335,87.29864500000001 ,49.33982963562012,89.42503728201007 ,50920.0,10:15:45 AM,1572669945166
