x,y,z
-0.349 , 7.682 , 6.455
-0.337 , 7.66 , 6.384
-0.324 , 7.721 , 6.397
-0.433 , 7.71 , 6.4
-0.357 , 7.677 , 6.341
-0.355 , 7.737 , 6.389
-0.385 , 7.709 , 6.408
-0.358 , 7.662 , 6.373
-0.39 , 7.697 , 6.39
-0.301 , 7.656 , 6.41
-0.313 , 7.624 , 6.431
-0.318 , 7.786 , 6.474
-0.275 , 7.734 , 6.311
-0.209 , 7.619 , 6.431
-0.285 , 7.558 , 6.357
-0.476 , 7.702 , 6.341
-0.542 , 7.711 , 6.601
-0.532 , 7.606 , 6.588
-0.515 , 7.634 , 6.564
-0.327 , 7.654 , 6.488
-0.275 , 7.563 , 6.311
-0.13 , 7.57 , 6.366
-0.151 , 7.614 , 6.372
-0.206 , 7.637 , 6.51
-0.375 , 7.65 , 6.596
-0.54 , 7.624 , 6.518
-0.577 , 7.564 , 6.519
-0.633 , 7.608 , 6.512
-0.49 , 7.686 , 6.547
-0.357 , 7.735 , 6.473
-0.253 , 7.734 , 6.331
-0.234 , 7.646 , 6.314
-0.233 , 7.683 , 6.263
-0.258 , 7.659 , 6.275
-0.349 , 7.756 , 6.355
-0.407 , 7.739 , 6.483
-0.46 , 7.725 , 6.503
-0.478 , 7.629 , 6.479
-0.348 , 7.647 , 6.45
-0.349 , 7.67 , 6.448
-0.307 , 7.613 , 6.489
-0.231 , 7.656 , 6.454
-0.224 , 7.625 , 6.474
-0.276 , 7.575 , 6.434
-0.314 , 7.561 , 6.461
-0.395 , 7.612 , 6.511
-0.369 , 7.672 , 6.497
-0.354 , 7.676 , 6.553
-0.319 , 7.667 , 6.491
-0.269 , 7.606 , 6.381
-0.306 , 7.593 , 6.393
-0.352 , 7.644 , 6.427
-0.288 , 7.693 , 6.461
-0.349 , 7.72 , 6.403
-0.302 , 7.695 , 6.445
-0.272 , 7.715 , 6.406
-0.261 , 7.668 , 6.425
-0.215 , 7.647 , 6.504
-0.263 , 7.689 , 6.472
-0.212 , 7.68 , 6.469
-0.291 , 7.672 , 6.505
-0.318 , 7.701 , 6.461
-0.325 , 7.68 , 6.522
-0.343 , 7.653 , 6.483
-0.296 , 7.629 , 6.428
-0.275 , 7.631 , 6.443
-0.321 , 7.619 , 6.406
-0.271 , 7.691 , 6.425
-0.291 , 7.636 , 6.393
-0.186 , 7.686 , 6.475
-0.249 , 7.617 , 6.444
-0.319 , 7.662 , 6.414
-0.316 , 7.623 , 6.507
-0.358 , 7.65 , 6.466
-0.376 , 7.677 , 6.481
-0.34 , 7.632 , 6.595
-0.269 , 7.64 , 6.481
-0.255 , 7.527 , 6.489
-0.106 , 7.582 , 6.468
-0.158 , 7.576 , 6.425
-0.188 , 7.611 , 6.37
-0.305 , 7.67 , 6.482
-0.354 , 7.696 , 6.518
-0.435 , 7.68 , 6.491
-0.41 , 7.738 , 6.462
-0.318 , 7.719 , 6.394
-0.285 , 7.684 , 6.415
-0.176 , 7.686 , 6.438
-0.152 , 7.683 , 6.395
