,ori,,
1582891835976,8.691681,-4.860914,0.045447227
1582891835996,8.836945,-4.86105,-0.07675147
1582891836016,8.979187,-4.8902903,-0.1871771
1582891836038,9.107513,-4.889613,-0.2675371
1582891836060,9.208191,-4.899715,-0.32389808
1582891836117,9.276337,-4.946461,-0.37487185
1582891836117,9.309784,-4.954286,-0.40111962
1582891836117,9.313538,-4.888323,-0.39181632
1582891836138,9.286621,-4.9047933,-0.3693658
1582891836159,9.2291565,-4.996597,-0.3343187
1582891836178,9.161041,-4.988596,-0.2967732
1582891836198,9.102905,-4.9348307,-0.26398677
1582891836219,9.076813,-4.9156394,-0.24883226
1582891836238,9.087341,-4.941075,-0.25431806
1582891836261,9.107025,-4.9590106,-0.2616954
1582891836307,9.118256,-4.933502,-0.25714856
1582891836307,9.123077,-4.929353,-0.26512676
1582891836325,9.122925,-4.9703126,-0.27983102
1582891836339,9.11499,-4.939564,-0.2724844
1582891836360,9.112915,-4.877891,-0.26638463
1582891836379,9.120422,-4.9119906,-0.27827686
1582891836400,9.133911,-4.9705944,-0.3029303
1582891836420,9.154022,-4.927513,-0.3165965
1582891836439,9.171783,-4.900453,-0.33030212
1582891836461,9.189728,-4.9605474,-0.36613998
1582891836491,9.186829,-4.9748406,-0.35611674
1582891836500,9.16748,-4.926368,-0.33976144
1582891836521,9.137329,-4.921047,-0.32808337
1582891836540,9.083771,-4.9611406,-0.3030382
1582891836562,9.010162,-4.9803133,-0.26089185
1582891836583,8.932709,-4.9493365,-0.21217325
1582891836606,8.858093,-4.9435325,-0.17070438
1582891836627,8.7864685,-4.979896,-0.14398958
1582891836645,8.709869,-4.986243,-0.096296884
1582891836667,8.64679,-4.9606433,-0.056800935
1582891836707,8.631134,-5.031367,-0.060346738
1582891836707,8.6102295,-5.0318494,-0.036851916
1582891836723,8.624329,-4.9354587,-0.060733095
1582891836743,8.658142,-4.9695797,-0.067476176
1582891836763,8.693085,-5.0382133,-0.0817293
1582891836788,8.725098,-5.004828,-0.10036312
1582891836805,8.737244,-4.9565983,-0.09173513
1582891836825,8.727142,-4.9665,-0.08421944
1582891836847,8.7005005,-4.9981775,-0.06995533
1582891836868,8.65918,-4.979124,-0.057162452
1582891836906,8.60376,-4.94627,-0.015998706
1582891836906,8.559204,-4.95062,0.018813625
1582891836925,8.542908,-4.982285,0.034117624
1582891836945,8.538361,-4.9756227,0.049335558
1582891836965,8.545929,-4.9615073,0.056424845
1582891836985,8.555176,-4.9917173,0.07414245
1582891837009,8.573914,-4.979266,0.0821051
1582891837028,8.579926,-4.9767723,0.09738987
1582891837046,8.5590515,-5.0400634,0.13742393
1582891837071,8.528381,-5.059287,0.18594599
1582891837105,8.497314,-5.014173,0.22180057
1582891837123,8.445953,-4.987234,0.26921484
1582891837127,8.359436,-5.018552,0.35330722
1582891837147,8.263031,-5.021471,0.4357008
1582891837167,8.178589,-4.9944763,0.5085421
1582891837188,8.097565,-5.019424,0.57469267
1582891837207,8.015228,-5.0238934,0.6461444
1582891837232,7.926819,-4.9831944,0.72424924
1582891837251,7.8300476,-4.946483,0.79693013
1582891837276,7.72287,-4.925374,0.8639119
1582891837328,7.6106873,-4.974983,0.9313061
1582891837328,7.5041504,-4.939052,1.0103679
1582891837329,7.4449463,-4.833617,1.0200878
1582891837349,7.4058533,-4.7954307,1.0827987
1582891837368,7.3867493,-4.9112277,1.0562305
1582891837389,7.380432,-4.9127026,1.0922158
1582891837412,7.409607,-4.784786,1.0679371
1582891837429,7.4642334,-4.7531524,1.0358642
1582891837453,7.5248413,-4.8456316,1.0017359
1582891837476,7.583435,-4.8695464,0.97757757
1582891837522,7.6438293,-4.8018703,0.95545936
1582891837522,7.6780396,-4.846458,0.9177227
1582891837531,7.6880493,-4.890412,0.89838386
1582891837554,7.6890564,-4.8342786,0.887563
1582891837571,7.690277,-4.9119973,0.8531651
1582891837594,7.684204,-4.923294,0.86542726
1582891837611,7.6932983,-4.769033,0.84722686
1582891837633,7.738556,-4.79285,0.7483741
1582891837652,7.7206116,-5.1352534,0.83530694
1582891837677,7.7377625,-5.0014467,0.7220869
1582891837702,7.8041687,-4.6908526,0.68762064
1582891837712,7.806488,-4.817907,0.7183691
1582891837736,7.816925,-5.083683,0.6338887
1582891837753,7.791046,-5.0762715,0.6878487
1582891837775,7.7994995,-4.8708644,0.6167414
1582891837802,7.7979126,-4.794171,0.61854565
1582891837814,7.808197,-5.0279727,0.50911075
1582891837834,7.7621155,-5.1555786,0.6118551
1582891837853,7.747467,-4.9204803,0.514513
1582891837876,7.7545166,-4.813628,0.46345624
1582891837909,7.68042,-4.9935784,0.54340726
1582891837915,7.6749573,-5.132048,0.3805533
1582891837935,7.6650696,-4.9357147,0.45429897
1582891837956,7.685028,-4.9258156,0.34901583
1582891837975,7.7196655,-5.134056,0.3930228
1582891837996,7.7606506,-5.063053,0.27657726
1582891838017,7.811157,-4.7902927,0.27240628
1582891838043,7.917206,-4.490482,0.21305577
1582891838056,8.089294,-4.772277,0.02581881
1582891838078,8.148743,-4.943166,0.00037261884
1582891838111,8.120392,-4.865777,-0.05918419
1582891838118,7.99704,-4.8452506,-0.07121926
1582891838136,7.7655945,-4.824747,-0.1720332
1582891838157,7.4139404,-4.7334294,-0.12042004
1582891838177,7.065033,-4.5736666,-0.049358338
1582891838199,6.873474,-4.659015,-0.105094165
1582891838218,6.8637695,-4.846412,-0.17211865
1582891838238,7.0632324,-4.7992096,-0.3127741
1582891838271,7.42807,-4.8036637,-0.5729796
1582891838287,7.8381042,-4.9743147,-0.8191867
1582891838313,8.271149,-4.7810917,-1.0487576
1582891838319,8.685791,-4.6598253,-1.2951738
1582891838338,8.966309,-4.9482117,-1.478487
1582891838358,9.103363,-5.093795,-1.632427
1582891838378,9.06955,-4.97987,-1.6839025
1582891838398,8.891846,-5.060542,-1.6917156
1582891838419,8.648712,-5.1361623,-1.6791984
1582891838441,8.388123,-5.0214124,-1.6062275
1582891838462,8.1250305,-4.9659514,-1.4834756
1582891838484,7.945862,-4.864807,-1.4625889
1582891838527,7.838928,-4.8503895,-1.4013153
1582891838527,7.819519,-4.8646855,-1.3727586
1582891838540,7.890503,-4.7612305,-1.5009067
1582891838560,7.963379,-4.717325,-1.5968816
1582891838581,7.9922485,-4.858491,-1.616193
1582891838600,8.084259,-4.8684735,-1.8258568
1582891838620,8.129578,-4.813328,-1.8544066
1582891838640,8.148743,-4.8913126,-2.00035
1582891838663,8.110596,-5.0237136,-1.900616
1582891838686,8.108978,-5.015671,-2.0446
1582891838720,8.094971,-5.1437016,-2.0156872
1582891838724,8.06366,-5.0028014,-2.0726964
1582891838743,8.034271,-5.2828693,-2.122869
1582891838763,7.9852905,-5.1870785,-2.1007087
1582891838783,7.9742737,-5.3109083,-2.2100742
1582891838806,7.9823914,-5.24457,-2.2088645
1582891838824,7.993866,-5.388493,-2.3657014
1582891838842,8.023926,-5.4923353,-2.3172944
1582891838863,8.036102,-5.444779,-2.460467
1582891838885,8.071014,-5.615402,-2.3826385
1582891838908,8.140503,-5.4779882,-2.5500278
1582891838924,8.205261,-5.784695,-2.4900656
1582891838944,8.302216,-5.6795673,-2.6904323
1582891838963,8.362183,-5.840095,-2.6900914
1582891838985,8.426239,-5.832313,-2.754477
1582891839008,8.487549,-5.876456,-2.880347
1582891839027,8.54245,-6.0154686,-2.8542447
1582891839048,8.627808,-5.9277725,-3.005711
1582891839066,8.753479,-6.016081,-3.050672
1582891839092,8.8984375,-6.003643,-3.0908234
1582891839116,9.125488,-5.984493,-3.2734394
1582891839126,9.325195,-6.135035,-3.2675498
1582891839145,9.563965,-6.1030846,-3.512582
1582891839166,9.779114,-6.269239,-3.57911
1582891839188,9.969696,-6.1796293,-3.7089934
1582891839206,10.176819,-6.278918,-3.8744256
1582891839228,10.288605,-6.417654,-3.8678007
1582891839247,10.402679,-6.512876,-4.0176797
1582891839269,10.4747925,-6.6521544,-4.0795207
1582891839292,10.473114,-6.5257773,-4.05715
1582891839308,10.449524,-6.633214,-4.1174874
1582891839341,10.334625,-6.8809857,-4.0463448
1582891839352,10.156128,-6.886773,-3.9999197
1582891839368,9.879913,-6.9549375,-3.8782706
1582891839389,9.499298,-6.9534335,-3.6847193
1582891839409,9.092194,-7.0643167,-3.5551538
1582891839430,8.59668,-7.137402,-3.324456
1582891839448,8.11438,-6.8210554,-3.1698937
1582891839468,7.54834,-6.986481,-2.8504884
1582891839496,6.9425354,-7.1841297,-2.5037107
1582891839548,6.447754,-7.284184,-2.3868253
1582891839548,5.884857,-7.0837336,-2.1026719
1582891839552,5.3632507,-6.835692,-1.833452
1582891839573,4.8931274,-6.917932,-1.773272
1582891839591,4.375824,-6.838503,-1.4629493
1582891839623,3.8747864,-6.8546004,-1.2454741
1582891839631,3.32135,-7.27642,-1.0022947
1582891839650,2.8479614,-7.0087876,-0.9303997
1582891839672,2.3747253,-6.575487,-0.6975839
1582891839693,1.9752502,-6.680098,-0.71598005
1582891839739,1.482605,-7.2372146,-0.38518932
1582891839740,1.100708,-7.1749277,-0.40158045
1582891839755,0.75024414,-7.009981,-0.21117087
1582891839772,0.5155029,-6.6953635,-0.37068877
1582891839793,0.21511841,-6.9545417,-0.11540602
1582891839814,0.062683105,-7.1716013,-0.29753923
1582891839833,359.99002,-6.912189,-0.31685373
1582891839855,359.8466,-7.1288075,-0.2996199
1582891839873,359.8262,-7.5651927,-0.42275286
1582891839896,359.8204,-7.272596,-0.5954469
1582891839948,359.93362,-6.9949064,-0.6631438
1582891839948,0.13742065,-7.1899905,-1.0189471
1582891839955,0.3998108,-7.4247913,-1.2093394
1582891839974,0.7713928,-7.5073266,-1.5465941
1582891839995,1.2694397,-7.4422398,-1.8933651
1582891840021,1.7548828,-8.000631,-2.081079
1582891840034,2.4479065,-7.985294,-2.551023
1582891840054,3.2239075,-7.8021507,-3.0300093
1582891840075,4.015991,-8.042603,-3.5085483
1582891840096,4.843384,-8.132829,-3.9583797
1582891840131,5.691437,-7.929568,-4.3956385
1582891840134,6.550232,-7.9687767,-4.853302
1582891840157,7.4588623,-7.7815433,-5.404409
1582891840177,8.280243,-8.276918,-5.7801704
1582891840197,9.126709,-8.193036,-6.1967206
1582891840218,9.969421,-7.933339,-6.5781045
1582891840238,10.772064,-7.8840456,-6.8286014
1582891840257,11.547302,-8.363607,-7.154652
1582891840277,12.314545,-8.483686,-7.5364485
1582891840298,12.96759,-8.167782,-7.495049
1582891840330,13.667694,-7.838027,-7.912414
1582891840337,14.2178955,-7.9090314,-7.8756113
1582891840358,14.70874,-8.52625,-8.091008
1582891840378,15.054626,-8.820263,-8.1038265
1582891840398,15.221436,-8.658709,-7.785975
1582891840420,15.399872,-8.700665,-7.779666
1582891840440,15.521362,-8.85853,-7.7348256
1582891840459,15.586426,-8.854172,-7.414179
1582891840478,15.703339,-8.734492,-7.361848
1582891840500,15.646393,-9.185714,-6.9935193
1582891840529,15.423035,-9.637541,-6.4685745
1582891840539,15.134857,-9.885827,-6.0880847
1582891840559,14.865082,-9.638334,-5.80609
1582891840584,14.521851,-9.7894535,-5.40024
1582891840601,14.109314,-10.250105,-5.069381
1582891840622,13.649933,-10.391523,-4.572268
1582891840643,13.201569,-10.161866,-4.2153234
1582891840661,12.780304,-10.0109625,-3.846909
1582891840681,12.270874,-10.848376,-3.4317093
1582891840706,11.7966,-10.798064,-3.0642993
1582891840734,11.494324,-9.573532,-2.8439016
1582891840741,11.169739,-9.9377,-2.5673966
1582891840762,10.756775,-10.6134615,-2.1429465
1582891840783,10.511719,-10.563702,-2.020732
1582891840801,10.310974,-10.221175,-1.8674196
1582891840825,10.138153,-9.956625,-1.7472363
1582891840842,9.962555,-10.029011,-1.6329075
1582891840862,9.755341,-10.289965,-1.4702278
1582891840883,9.560974,-10.26985,-1.2874385
1582891840904,9.441772,-10.392571,-1.3159748
1582891840926,9.371307,-10.32921,-1.3468093
1582891840944,9.3341675,-10.282433,-1.2031608
1582891840964,9.276642,-10.788144,-1.1567255
1582891840984,9.314514,-10.522183,-1.2440149
1582891841006,9.366791,-10.224374,-1.2477689
1582891841027,9.393494,-10.294029,-1.2626423
1582891841046,9.416901,-10.268873,-1.330071
1582891841066,9.410339,-10.469128,-1.3077366
1582891841085,9.4609375,-10.056185,-1.4310492
1582891841108,9.4592285,-10.133378,-1.3984576
1582891841130,9.354401,-10.598074,-1.1931697
1582891841145,9.30545,-10.41895,-1.2551408
1582891841165,9.22757,-10.602406,-1.2174988
1582891841187,9.089447,-11.020507,-1.1426647
1582891841205,8.969696,-10.433822,-1.0142692
1582891841226,8.884796,-9.979172,-1.0408782
1582891841248,8.766083,-10.74045,-1.0005128
1582891841268,8.646088,-10.69588,-0.89857125
1582891841289,8.53064,-10.431305,-0.8161693
1582891841310,8.3685,-10.946063,-0.76033026
1582891841359,8.23172,-10.589077,-0.7482075
1582891841359,8.123596,-10.01913,-0.74656266
1582891841367,7.927765,-10.32817,-0.7032739
1582891841388,7.6289062,-10.803575,-0.52821517
1582891841407,7.402466,-10.4735985,-0.5842696
1582891841428,7.2132263,-10.102589,-0.6108494
1582891841447,6.9775085,-10.454547,-0.62535197
1582891841467,6.757599,-10.601578,-0.54707545
1582891841490,6.6248474,-9.845352,-0.62384856
1582891841516,6.52359,-9.734731,-0.76352423
1582891841561,6.445343,-10.41547,-0.8747626
1582891841561,6.442749,-10.136754,-1.0014706
1582891841569,6.446594,-9.617245,-1.0929729
1582891841590,6.5347595,-9.699776,-1.3690469
1582891841610,6.661438,-9.984865,-1.66954
1582891841630,6.7852173,-10.048308,-1.8144643
1582891841650,6.9155273,-10.216433,-1.9786755
1582891841671,7.0896606,-10.283387,-2.2829711
1582891841690,7.2902527,-10.12307,-2.575913
1582891841713,7.5206604,-9.903592,-2.7951045
1582891841757,7.7598267,-9.884506,-3.12786
1582891841757,7.989624,-10.289938,-3.395752
1582891841773,8.225891,-10.1152525,-3.5529325
1582891841798,8.502991,-9.309811,-3.8250277
1582891841812,8.716339,-10.101414,-3.971352
1582891841833,8.817352,-10.961364,-4.0214477
1582891841852,9.198303,-9.217439,-4.3709025
