x=-1.706 , y=2.711 , z=11.583
x=-3.846 , y=5.887 , z=16.031
x=-4.984 , y=5.549 , z=17.039
x=-5.03 , y=3.286 , z=14.713
x=-3.801 , y=2.236 , z=13.979
x=-1.748 , y=3.605 , z=13.776
x=-0.403 , y=4.874 , z=11.094
x=0.6 , y=4.789 , z=8.059
x=0.532 , y=4.555 , z=5.282
x=0.756 , y=5.703 , z=4.563
x=-0.343 , y=7.157 , z=1.89
x=-0.416 , y=8.23 , z=3.549
x=-0.154 , y=8.201 , z=4.161
x=1.119 , y=7.852 , z=2.362
x=3.043 , y=8.097 , z=3.677
x=3.892 , y=7.65 , z=6.897
x=3.264 , y=5.97 , z=7.849
x=1.799 , y=3.064 , z=7.179
x=-0.281 , y=0.342 , z=6.701
x=-3.3 , y=0.557 , z=6.525
x=-4.718 , y=2.87 , z=10.597
x=-6.387 , y=6.098 , z=14.531
x=-7.74 , y=7.231 , z=15.474
x=-7.386 , y=4.907 , z=13.866
x=-5.828 , y=0.451 , z=8.401
x=-2.991 , y=-1.397 , z=2.924
x=0.862 , y=1.063 , z=4.807
x=2.799 , y=5.531 , z=9.34
x=3.879 , y=8.794 , z=11.681
x=4.465 , y=8.097 , z=8.037
x=4.086 , y=6.14 , z=1.1
x=3.729 , y=5.754 , z=-1.788
x=3.443 , y=6.822 , z=0.779
x=3.56 , y=7.072 , z=4.217
x=2.6 , y=5.676 , z=5.551
x=0.34 , y=2.835 , z=8.039
x=-1.488 , y=0.91 , z=11.744
x=-6.068 , y=1.589 , z=13.208
x=-8.781 , y=3.278 , z=17.522
x=-11.112 , y=3.247 , z=16.316
x=-11.209 , y=1.353 , z=11.035
x=-8.692 , y=0.93 , z=7.138
x=-4.529 , y=2.413 , z=7.639
x=-0.248 , y=3.857 , z=10.295
x=3.589 , y=4.996 , z=15.655
x=6.025 , y=4.376 , z=16.411
x=7.278 , y=1.225 , z=11.326
x=5.818 , y=-2.559 , z=3.084
x=3.031 , y=-0.654 , z=1.788
x=0.825 , y=3.33 , z=7.312
x=-0.809 , y=7.896 , z=11.163
x=-2.263 , y=10.419 , z=10.964
x=-1.462 , y=10.577 , z=11.583
x=-2.452 , y=9.961 , z=6.973
x=-1.433 , y=7.491 , z=5.748
x=-0.708 , y=4.666 , z=0.573
x=1.098 , y=3.468 , z=0.682
x=3.085 , y=6.081 , z=0.567
x=5.35 , y=10.24 , z=5.14
x=5.3 , y=12.402 , z=9.213
x=3.719 , y=11.352 , z=9.851
x=1.618 , y=9.287 , z=4.13
x=1.369 , y=7.155 , z=1.129
x=-0.287 , y=5.262 , z=-0.169
x=-2.285 , y=5.221 , z=3.515
x=-2.474 , y=6.982 , z=6.549
x=-2.404 , y=6.514 , z=7.429
x=-4.83 , y=4.253 , z=7.62
x=-5.482 , y=3.822 , z=12.466
x=-6.108 , y=6.596 , z=14.409
x=-5.595 , y=7.927 , z=13.677
x=-4.83 , y=5.587 , z=10.158
x=-3.149 , y=2.114 , z=7.574
x=-1.535 , y=1.574 , z=7.766
x=1.24 , y=3.427 , z=10.911
x=2.272 , y=4.594 , z=12.602
x=2.594 , y=3.562 , z=12.977
x=2.426 , y=1.98 , z=12.132
x=0.871 , y=2.002 , z=8.561
x=-2.237 , y=4.545 , z=3.233
x=-1.324 , y=3.335 , z=3.983
x=-3.238 , y=0.724 , z=0.464
x=-6.355 , y=0.116 , z=0.918
x=-4.718 , y=1.432 , z=12.03
x=-5.717 , y=2.381 , z=16.824
x=-5.975 , y=1.137 , z=17.836
x=-4.43 , y=0.981 , z=17.932
x=-3.471 , y=2.15 , z=19.049
x=-2.201 , y=1.827 , z=16.784
x=-0.525 , y=0.86 , z=12.517
x=1.639 , y=2.546 , z=14.342
x=2.423 , y=4.86 , z=15.825
x=2.18 , y=4.385 , z=15.953
x=2.301 , y=3.21 , z=13.45
x=2.059 , y=4.069 , z=9.547
x=2.672 , y=6.085 , z=7.763
x=-1.369 , y=6.346 , z=4.406
x=-0.813 , y=4.418 , z=10.126
x=-2.778 , y=3.706 , z=7.037
x=-4.066 , y=3.967 , z=5.762
x=-3.011 , y=6.007 , z=9.387
x=-1.044 , y=9.252 , z=11.486
x=0.226 , y=12.031 , z=11.585
x=1.118 , y=11.499 , z=12.56
x=0.951 , y=6.846 , z=2.369
x=3.078 , y=4.904 , z=-2.022
x=3.269 , y=5.083 , z=-4.483
x=4.265 , y=6.326 , z=0.148
x=3.354 , y=7.527 , z=4.718
x=0.438 , y=8.05 , z=4.412
x=-1.467 , y=8.347 , z=3.691
x=-4.25 , y=8.168 , z=1.961
x=-6.159 , y=7.951 , z=2.477
x=-6.234 , y=9.268 , z=6.136
x=-6.375 , y=10.92 , z=3.991
x=-3.868 , y=10.749 , z=4.136
x=-1.751 , y=8.7 , z=2.593
x=0.353 , y=7.715 , z=3.357
x=2.177 , y=9.721 , z=8.161
x=2.923 , y=11.013 , z=12.827
x=2.408 , y=7.447 , z=10.538
x=1.198 , y=2.612 , z=4.124
x=0.518 , y=2.067 , z=1.71
x=-0.284 , y=4.589 , z=6.992
x=-3.058 , y=6.988 , z=11.665
x=-4.559 , y=7.191 , z=12.882
x=-5.622 , y=5.084 , z=10.053
x=-5.993 , y=2.408 , z=6.802
x=-5.963 , y=0.75 , z=5.956
x=-4.302 , y=2.088 , z=10.464
x=-1.675 , y=4.823 , z=13.663
x=0.658 , y=5.748 , z=13.618
x=2.011 , y=4.509 , z=11.684
x=2.733 , y=4.585 , z=10.883
x=2.177 , y=6.38 , z=11.652
x=0.841 , y=6.759 , z=12.366
x=-1.444 , y=3.647 , z=6.56
x=-2.256 , y=1.443 , z=2.016
x=-1.755 , y=2.952 , z=3.713
x=-2.297 , y=6.138 , z=8.855
x=-2.099 , y=7.608 , z=13.051
x=-0.828 , y=5.189 , z=10.857
x=-1.35 , y=1.927 , z=3.312
x=-0.445 , y=-0.283 , z=2.632
x=-0.004 , y=0.338 , z=6.77
x=-0.435 , y=3.14 , z=11.772
x=-0.859 , y=6.159 , z=15.352
x=-0.995 , y=6.125 , z=17.218
x=-2.701 , y=3.677 , z=14.373
x=-3.451 , y=3.126 , z=13.978
x=-3.604 , y=5.869 , z=17.559
x=-3.19 , y=6.944 , z=20.326
x=-3.923 , y=3.69 , z=13.417
x=-2.567 , y=0.934 , z=8.898
x=-1.83 , y=3.112 , z=6.724
x=-2.168 , y=6.687 , z=7.84
x=-1.091 , y=7.246 , z=8.3
x=-0.636 , y=4.992 , z=5.498
x=-1.037 , y=4.358 , z=0.26
x=0.002 , y=5.171 , z=2.4
x=0.2 , y=4.881 , z=5.679
x=-0.859 , y=4.222 , z=6.582
x=-0.725 , y=5.045 , z=7.454
x=-0.31 , y=5.424 , z=7.329
x=-1.225 , y=4.155 , z=5.449
x=-2.088 , y=4.046 , z=5.17
x=-1.776 , y=6.808 , z=9.219
x=-1.563 , y=8.995 , z=12.106
x=-1.131 , y=6.433 , z=11.072
x=-0.308 , y=2.972 , z=6.242
x=0.789 , y=3.972 , z=4.195
x=2.017 , y=7.102 , z=7.392
x=1.129 , y=8.577 , z=8.859
x=0.568 , y=7.573 , z=8.164
x=-0.131 , y=7.0 , z=4.825
x=-1.259 , y=6.615 , z=4.258
x=-2.473 , y=6.15 , z=5.829
x=-3.121 , y=6.429 , z=7.257
x=-2.597 , y=7.597 , z=8.31
x=-2.145 , y=7.442 , z=8.44
x=-2.78 , y=5.628 , z=7.101
x=-2.699 , y=4.462 , z=8.12
x=-3.338 , y=5.742 , z=9.488
x=-3.72 , y=5.797 , z=11.465
x=-3.725 , y=2.665 , z=8.265
x=-3.56 , y=-0.603 , z=4.017
x=-1.441 , y=0.797 , z=7.609
x=-0.873 , y=4.413 , z=13.401
x=-0.533 , y=5.717 , z=18.82
