x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,abcd
-0.028808925,-1.45735,8.722696,23.5517683333333,87.2965216666667,0,7.2,0,90572406,0
0.2864798,-0.82188255,9.945588,23.5517683333333,87.2965216666667,0,7.2,0,90572414,0
1.0843437,0.25358963,8.866859,23.5517683333333,87.2965216666667,0,7.2,0,90572455,0
0.82440567,-0.30508623,7.9768906,23.5517683333333,87.2965216666667,0,7.2,0,90572497,0
0.9309068,-0.45518905,12.248555,23.5517683333333,87.2965216666667,0,7.2,0,90572504,0
0.9340548,-2.5062656,10.49093,23.5517683333333,87.2965216666667,0,7.2,0,90572539,0
-1.107167,1.5374858,11.230474,23.5517683333333,87.2965216666667,0,7.2,0,90572550,0
-0.15053868,0.48275784,6.132128,23.5517683333333,87.2965216666667,0,7.2,0,90572580,0
-0.49805868,-0.29782602,8.485937,23.5517683333333,87.2965216666667,0,7.2,0,90572605,0
0.55307597,-1.48695,9.562211,23.5517683333333,87.2965216666667,0,7.2,0,90572622,0
1.4593955,-0.39842838,8.915958,23.5517683333333,87.2965216666667,0,7.2,0,90572663,0
2.8538554,-1.4271789,10.300684,23.5517683333333,87.2965216666667,0,7.2,0,90572705,0
0.14031886,0.08168675,5.047721,23.5517683333333,87.2965216666667,0,7.2,0,90572747,0
2.429146,1.1083068,9.627898,23.5517683333333,87.2965216666667,0,7.2,0,90572788,0
0.43525168,-1.8207881,9.729012,23.5517683333333,87.2965216666667,0,7.2,0,90572805,0
-0.25580394,1.7015854,12.523688,23.5517683333333,87.2965216666667,0,7.2,0,90572830,0
-1.7380414,-1.3206629,10.4009695,23.5517683333333,87.2965216666667,0,7.2,0,90572871,0
0.0873628,1.4042724,12.681763,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90572913,0
-1.9169904,-0.04506813,9.500517,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90572954,0
0.47890455,-0.9978394,9.399542,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90572961,0
0.74717873,-0.49518806,9.659628,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90572996,0
0.2065379,-1.456331,11.898839,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573005,0
-0.18108729,0.06794406,9.407648,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573038,0
-0.18345584,-1.2366823,10.006918,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573079,0
0.9201285,-0.78866595,11.509953,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573086,0
1.0431231,0.28048435,9.6067295,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573121,0
0.64790475,-0.094351485,8.450624,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573128,0
-1.3764818,-0.8554871,10.931971,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573162,0
-1.124545,0.2854996,6.1267323,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573169,0
1.1833475,0.22249226,10.76854,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573204,0
0.49533203,-0.8165845,13.601392,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573211,0
-0.77226126,-1.7682978,9.242826,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573246,0
1.0870858,0.11787984,10.520349,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573287,0
0.40860584,-2.2156527,10.065129,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573329,0
0.44256356,-0.0378588,10.024997,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573370,0
-0.63295674,-0.48307365,12.378902,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573404,0
0.35116073,-2.4478128,10.591785,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573413,0
-1.1985712,-0.3548378,7.05087,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573453,0
-1.439943,-0.40469393,10.4943495,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573460,0
0.41495475,-1.8130263,11.345311,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573495,0
-1.3275825,-0.6795727,7.989202,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573537,0
0.4124592,-0.87438595,9.925952,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573578,0
0.5853439,0.11394357,8.867433,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573585,0
0.5853439,0.11394357,8.867433,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573604,0
0.96209353,-0.8415064,12.425778,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573620,0
-0.15734,-0.46563143,10.116824,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573627,0
0.25614423,-0.89511883,7.7290587,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573661,0
0.21324207,-1.283679,10.669035,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573668,0
0.95460534,0.36538857,10.064351,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573703,0
0.14078468,-0.73332566,10.235,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573745,0
0.94339114,-0.6224506,12.708203,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573786,0
0.5976909,0.09475855,8.247686,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573804,0
0.16783103,0.05915879,7.431865,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573828,0
0.17933498,-0.73147863,9.808208,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573869,0
-0.05483322,-0.6430875,9.648693,23.5542016666667,87.2961,-9.07627391815186,6.1,0,90573876,0
0.084809594,-0.7909135,10.258674,23.554195,87.2961083333333,130.951370239258,5.5,0,90573911,0
0.60149825,0.3193667,9.96291,23.554195,87.2961083333333,130.951370239258,5.5,0,90573918,0
0.515404,-0.016521564,7.975386,23.554195,87.2961083333333,130.951370239258,5.5,0,90573952,0
-0.9561697,-1.2283446,11.227909,23.554195,87.2961083333333,130.951370239258,5.5,0,90573959,0
-1.0228199,-2.034006,11.559882,23.554195,87.2961083333333,130.951370239258,5.5,0,90573994,0
-0.5044967,0.48634046,9.968294,23.554195,87.2961083333333,130.951370239258,5.5,0,90574004,0
0.27074352,0.85363424,9.24681,23.554195,87.2961083333333,130.951370239258,5.5,0,90574036,0
-0.23349395,0.13544218,9.021719,23.554195,87.2961083333333,130.951370239258,5.5,0,90574043,0
-0.47542825,-1.7430899,10.033234,23.554195,87.2961083333333,130.951370239258,5.5,0,90574077,0
0.04022058,-0.9577329,10.648742,23.554195,87.2961083333333,130.951370239258,5.5,0,90574084,0
-0.4533716,0.23573202,10.086983,23.554195,87.2961083333333,130.951370239258,5.5,0,90574119,0
-0.1192298,0.5258637,9.272351,23.554195,87.2961083333333,130.951370239258,5.5,0,90574160,0
-0.3048546,-2.4419746,10.57758,23.554195,87.2961083333333,130.951370239258,5.5,0,90574202,0
-0.21049848,-1.0221107,9.966452,23.554195,87.2961083333333,130.951370239258,5.5,0,90574209,0
-0.0021339413,1.5556483,9.36327,23.554195,87.2961083333333,130.951370239258,5.5,0,90574243,0
-0.051350858,1.6277472,9.157434,23.554195,87.2961083333333,130.951370239258,5.5,0,90574250,0
-0.07806255,-0.6147101,9.431064,23.554195,87.2961083333333,130.951370239258,5.5,0,90574285,0
-0.07381357,-2.4766133,10.61639,23.554195,87.2961083333333,130.951370239258,5.5,0,90574292,0
-0.03502031,-1.7466974,10.420164,23.554195,87.2961083333333,130.951370239258,5.5,0,90574326,0
0.047957905,0.5311945,9.45041,23.554195,87.2961083333333,130.951370239258,5.5,0,90574333,0
