bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,zero
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5714.6553,75501884,0
5.4478884E-9,0.0,9.67304,0.0,0.0,0.0,0.0,5714.6553,75501913,0
-2.2139401E-9,0.0,9.881867,0.0,0.0,0.0,0.0,5714.6553,75501928,0
8.411997E-9,0.0,10.150408,0.0,0.0,0.0,0.0,5714.6553,75501942,0
-0.004729323,-0.11281295,10.229712,0.0,0.0,0.0,0.0,5714.6553,75501958,0
-4.5196895E-9,0.0,10.096885,0.0,0.0,0.0,0.0,5714.6553,75501972,0
8.900906E-9,-1.110223E-16,9.782301,0.0,0.0,0.0,0.0,5714.6553,75501985,0
-1.892899E-9,0.0,10.057974,0.0,0.0,0.0,0.0,5714.6553,75501997,0
-1.892899E-9,0.0,10.057974,0.0,0.0,0.0,0.0,6261.6436,75502009,0
-9.067881E-9,1.110223E-16,10.18746,0.0,0.0,0.0,0.0,6261.6436,75502022,0
-6.9712076E-9,1.110223E-16,10.056675,0.0,0.0,0.0,0.0,6261.6436,75502041,0
-1.322139E-8,0.0,9.945278,0.0,0.0,0.0,0.0,6261.6436,75502054,0
-7.520633E-9,-1.110223E-16,10.001597,0.0,0.0,0.0,0.0,6261.6436,75502067,0
0.025988564,-3.4922565E-4,10.007993,0.0,0.0,0.0,0.0,6411.5034,75502152,0
0.1517724,-0.008979184,10.068132,0.0,0.0,0.0,0.0,6411.5034,75502163,0
0.067138225,0.017059643,10.00223,0.0,0.0,0.0,0.0,6446.4707,75502192,0
0.1524383,0.043037526,9.9806,0.0,0.0,0.0,0.0,6446.4707,75502278,0
-0.03277952,-0.18247171,10.065507,0.0,0.0,0.0,0.0,6446.4707,75502299,0
-0.007528826,-0.25090066,10.083718,0.0,0.0,0.0,0.0,6446.4707,75502318,0
-0.2360752,-0.070632,9.902289,0.0,0.0,0.0,0.0,6456.4614,75502353,0
-0.17600235,-0.14868866,10.054246,0.0,0.0,0.0,0.0,6456.4614,75502364,0
-0.19080053,-0.14444983,10.060839,0.0,0.0,0.0,0.0,6456.4614,75502375,0
-0.13222271,-0.050955802,9.9679365,0.0,0.0,0.0,0.0,6456.4614,75502386,0
-0.117035404,-0.008717969,9.916678,0.0,0.0,0.0,0.0,6456.4614,75502443,0
0.043564297,-0.05778411,10.072229,0.0,0.0,0.0,0.0,6456.4614,75502457,0
0.26407912,0.023393728,10.190579,0.0,0.0,0.0,0.0,6456.4614,75502470,0
0.49304467,0.2833878,10.096498,0.0,0.0,0.0,0.0,6456.4614,75502484,0
0.49304467,0.2833878,10.096498,0.0,0.0,0.0,0.0,6476.443,75502496,0
0.4539047,0.4207941,9.955021,0.0,0.0,0.0,0.0,6476.443,75502532,0
0.3052306,0.23774472,9.953935,0.0,0.0,0.0,0.0,6493.9263,75502587,0
0.29748058,0.23103063,10.078031,0.0,0.0,0.0,0.0,6493.9263,75502622,0
0.18841149,0.046756167,10.09616,0.0,0.0,0.0,0.0,6493.9263,75502633,0
0.10797112,0.0037384103,9.924425,0.0,0.0,0.0,0.0,6493.9263,75502713,0
0.028224817,-0.16501066,10.125924,0.0,0.0,0.0,0.0,6493.9263,75502743,0
-0.02931112,-0.12358551,10.048404,0.0,0.0,0.0,0.0,6493.9263,75502757,0
-0.03330848,-0.1610982,10.035788,0.0,0.0,0.0,0.0,6493.9263,75502772,0
-0.054965228,-0.16366258,10.0366535,0.0,0.0,0.0,0.0,6493.9263,75502785,0
-0.054965228,-0.16366258,10.0366535,0.0,0.0,0.0,0.0,6506.4146,75502798,0
-0.10866215,-0.20780107,10.01321,0.0,0.0,0.0,0.0,6506.4146,75502809,0
-0.16487007,-0.29610538,10.068164,0.0,0.0,0.0,0.0,6506.4146,75502821,0
-0.01594043,-0.03988557,9.988045,0.0,0.0,0.0,0.0,6521.401,75502853,0
0.01680921,-0.081949346,10.039918,23.55136424,87.29668439,0.0,7.504,6521.401,75502890,0
0.06535765,-0.018222664,9.992307,23.55136424,87.29668439,0.0,7.504,6521.401,75502904,0
0.13517727,0.030818375,9.949759,23.55136424,87.29668439,0.0,7.504,6521.401,75502980,0
0.1646133,0.19337888,9.862517,23.55136424,87.29668439,0.0,7.504,6521.401,75503070,0
0.25346148,0.05897532,10.129986,23.55136424,87.29668439,0.0,7.504,6521.401,75503084,0
0.18228455,-0.08405028,10.078963,23.55136424,87.29668439,0.0,7.504,6521.401,75503096,0
0.09832261,-0.14486223,10.117356,23.55136424,87.29668439,0.0,7.504,6521.401,75503108,0
0.20516665,0.13884884,10.019796,23.55136424,87.29668439,0.0,7.504,6521.401,75503120,0
