x=0.12440491 , y=3.058838 , z=8.912079
x=0.18252563 , y=2.960373 , z=9.031403
x=0.12265015 , y=2.8717804 , z=9.170044
x=0.035079956 , y=2.7735748 , z=9.203369
x=0.026443481 , y=2.6915436 , z=9.240097
x=-0.0032653809 , y=2.5895386 , z=9.338669
x=-0.035247803 , y=2.504959 , z=9.460342
x=-0.017089844 , y=2.4492493 , z=9.539703
x=0.0014648438 , y=2.433426 , z=9.539932
x=-0.041732788 , y=2.4840546 , z=9.4565735
x=-0.11090088 , y=2.5099182 , z=9.37262
x=-0.07559204 , y=2.562378 , z=9.307434
x=0.012451172 , y=2.6667175 , z=9.2812805
x=0.025131226 , y=2.7419586 , z=9.236206
x=-0.03224182 , y=2.7878113 , z=9.170258
x=-0.059402466 , y=2.8064728 , z=9.129257
x=0.006729126 , y=2.821762 , z=9.131454
x=0.094680786 , y=2.8271637 , z=9.156876
x=0.08883667 , y=2.8221893 , z=9.207184
x=0.03152466 , y=2.7812653 , z=9.214645
x=0.05256653 , y=2.7587128 , z=9.219238
x=0.109680176 , y=2.7403564 , z=9.235123
x=0.08432007 , y=2.7039032 , z=9.202759
x=-0.0033569336 , y=2.6316986 , z=9.268738
x=-0.043640137 , y=2.5772247 , z=9.3619995
x=0.03895569 , y=2.5414886 , z=9.437622
x=0.16192627 , y=2.5218964 , z=9.469254
x=0.10343933 , y=2.53862 , z=9.399933
x=0.027511597 , y=2.5916595 , z=9.335983
x=0.048828125 , y=2.6494904 , z=9.284637
x=0.120651245 , y=2.6883087 , z=9.26796
x=0.19119263 , y=2.7720795 , z=9.214813
x=0.13887024 , y=2.7925262 , z=9.159409
x=0.05445862 , y=2.7967834 , z=9.135208
x=0.032440186 , y=2.7695923 , z=9.177643
x=0.07644653 , y=2.7777557 , z=9.2165985
x=0.13169861 , y=2.769287 , z=9.237137
x=0.103881836 , y=2.7337494 , z=9.236588
x=0.05155945 , y=2.6846619 , z=9.265366
x=0.009460449 , y=2.6448212 , z=9.295471
x=0.02003479 , y=2.620514 , z=9.325714
x=0.054595947 , y=2.6302795 , z=9.36409
x=0.0790863 , y=2.6502228 , z=9.36882
x=0.05696106 , y=2.655716 , z=9.324738
x=0.021392822 , y=2.66568 , z=9.260132
x=0.0066223145 , y=2.6858368 , z=9.193054
x=0.039520264 , y=2.7502441 , z=9.17395
x=0.069366455 , y=2.7585602 , z=9.236771
x=0.045928955 , y=2.7401123 , z=9.272476
x=0.019546509 , y=2.7328491 , z=9.267853
x=0.0034942627 , y=2.719101 , z=9.26889
x=0.020599365 , y=2.7042084 , z=9.241653
x=0.033340454 , y=2.7083282 , z=9.261795
x=0.06906128 , y=2.7155457 , z=9.287994
x=0.060028076 , y=2.7144775 , z=9.275772
x=0.060134888 , y=2.6975708 , z=9.232483
x=0.020446777 , y=2.6828156 , z=9.2270355
x=0.017150879 , y=2.6564636 , z=9.238968
x=0.0315094 , y=2.6409912 , z=9.279282
x=0.026870728 , y=2.6120453 , z=9.331879
x=-0.0066223145 , y=2.6177979 , z=9.347382
x=-0.035324097 , y=2.6598969 , z=9.333221
x=-0.010116577 , y=2.7213745 , z=9.294357
x=0.013305664 , y=2.7644043 , z=9.24173
x=0.0066223145 , y=2.8102722 , z=9.173126
x=-0.019515991 , y=2.8418274 , z=9.126282
x=-0.03340149 , y=2.849411 , z=9.132095
x=-0.01461792 , y=2.8303375 , z=9.179153
x=0.007736206 , y=2.7973938 , z=9.23056
x=-0.0027618408 , y=2.7690887 , z=9.267288
x=-0.008102417 , y=2.7388153 , z=9.287369
x=0.01524353 , y=2.7040253 , z=9.313141
x=0.08218384 , y=2.702835 , z=9.328812
x=0.10652161 , y=2.7115326 , z=9.301559
x=0.049057007 , y=2.7014313 , z=9.283264
x=0.0337677 , y=2.682434 , z=9.276978
x=0.08248901 , y=2.6839142 , z=9.272003
x=0.10612488 , y=2.6932678 , z=9.300247
x=0.08917236 , y=2.7008972 , z=9.265778
x=0.028640747 , y=2.717926 , z=9.237991
x=0.012329102 , y=2.6976624 , z=9.216995
x=0.029144287 , y=2.731903 , z=9.2326355
x=0.09817505 , y=2.7575836 , z=9.253098
x=0.12788391 , y=2.7700043 , z=9.233063
x=0.06890869 , y=2.7714539 , z=9.192062
x=0.026535034 , y=2.732483 , z=9.20166
x=0.07054138 , y=2.7136536 , z=9.240372
x=0.110443115 , y=2.6748657 , z=9.251846
x=0.13795471 , y=2.6572876 , z=9.290787
x=0.111709595 , y=2.6539154 , z=9.323563
x=0.032165527 , y=2.6261597 , z=9.342453
x=0.016143799 , y=2.6040955 , z=9.35347
x=0.055755615 , y=2.618637 , z=9.358841
x=0.08280945 , y=2.6427155 , z=9.326004
x=0.043685913 , y=2.6747742 , z=9.289673
x=-0.022369385 , y=2.6936188 , z=9.267532
x=-0.015625 , y=2.7225952 , z=9.252548
x=0.017684937 , y=2.7476044 , z=9.225723
x=0.014282227 , y=2.7555237 , z=9.202118
x=-0.013900757 , y=2.7669983 , z=9.191925
x=-0.008392334 , y=2.7478943 , z=9.210922
x=0.009002686 , y=2.7478027 , z=9.19664
x=0.036758423 , y=2.7448883 , z=9.219482
x=0.012451172 , y=2.7139435 , z=9.206314
x=-0.042404175 , y=2.6814117 , z=9.260895
x=-9.460449E-4 , y=2.6585083 , z=9.308914
x=0.007003784 , y=2.6249695 , z=9.321243
x=0.0018310547 , y=2.644104 , z=9.296631
x=-0.0076904297 , y=2.651352 , z=9.319565
x=-0.009933472 , y=2.6517792 , z=9.316895
x=0.0069732666 , y=2.6249847 , z=9.287262
x=0.018112183 , y=2.6288757 , z=9.308792
x=0.017654419 , y=2.6388245 , z=9.312302
x=0.025360107 , y=2.6533508 , z=9.3004
x=0.016662598 , y=2.6754456 , z=9.281525
x=0.012466431 , y=2.6912537 , z=9.253296
x=-0.0184021 , y=2.7148132 , z=9.240433
x=-0.033996582 , y=2.7210846 , z=9.266571
x=0.046691895 , y=2.7210236 , z=9.277374
