x=1.4237366 , y=9.889542 , z=-1.3997955
x=-1.7324066 , y=9.882355 , z=-4.158722
x=-1.9525452 , y=10.29393 , z=-1.832901
x=0.52163696 , y=10.375275 , z=2.6321106
x=1.6701965 , y=9.267395 , z=-1.758728
x=1.4859467 , y=9.379868 , z=-3.871582
x=0.91645813 , y=10.64328 , z=0.8422699
x=-0.46899414 , y=9.159729 , z=3.1417694
x=-1.2394867 , y=8.882156 , z=-0.624527
x=-0.55752563 , y=9.174088 , z=-5.079956
x=0.68196106 , y=9.480362 , z=-0.72502136
x=1.2681885 , y=8.264816 , z=1.5936127
x=0.03111267 , y=10.080963 , z=1.0145569
x=-0.08135986 , y=9.67897 , z=-3.7615204
x=1.5505524 , y=9.600006 , z=-0.31106567
x=1.7491608 , y=9.839294 , z=0.77526855
x=-1.1844482 , y=9.647858 , z=-3.723236
x=-2.3856506 , y=9.927826 , z=-2.725418
x=0.17228699 , y=10.1766815 , z=3.1872406
x=2.1607208 , y=9.537796 , z=0.727417
x=1.861618 , y=9.040085 , z=-4.7449646
x=0.84706116 , y=10.157532 , z=-0.58384705
x=-0.38523865 , y=9.49472 , z=4.4315033
x=-1.4739838 , y=8.824738 , z=1.2729797
x=-1.3902283 , y=9.099899 , z=-5.477173
x=-0.29193115 , y=9.188446 , z=-2.6057892
x=0.75852966 , y=8.233704 , z=1.8017883
x=-0.22970581 , y=9.812973 , z=1.1605225
x=-0.9020996 , y=10.58345 , z=-2.6416779
x=1.0193481 , y=8.908478 , z=-3.562912
x=1.9716797 , y=9.552155 , z=1.1700897
x=-1.0911255 , y=10.217346 , z=-2.4335022
x=-3.3475647 , y=9.9039 , z=-4.1036835
x=-1.0815582 , y=10.482956 , z=0.8877411
x=1.4811554 , y=9.645462 , z=2.3018951
x=2.3617096 , y=8.934799 , z=-2.7637177
x=1.1030884 , y=10.179062 , z=-2.8737793
x=-0.8661957 , y=9.999603 , z=2.3282166
x=-1.3686981 , y=8.446671 , z=3.488739
x=-0.9523468 , y=9.198013 , z=-3.328415
x=-0.67477417 , y=9.683746 , z=-5.572891
x=0.8614197 , y=8.846268 , z=0.40678406
x=1.0791626 , y=8.793625 , z=1.5026855
x=-0.6915283 , y=10.877777 , z=-1.0145569
x=0.08375549 , y=9.312866 , z=-4.8023987
x=2.3976135 , y=9.894318 , z=0.9451599
x=0.933197 , y=10.0785675 , z=-1.6941223
x=-2.325821 , y=9.827316 , z=-3.7136536
x=-0.82073975 , y=10.772491 , z=-0.14117432
x=2.108078 , y=10.016357 , z=1.7874451
