x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,zero
-1.466615,3.3305178,8.245256,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279208,0
-1.0317416,4.6687827,6.7316866,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279248,0
-0.113101274,6.104402,4.604777,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279288,0
0.07100358,6.990348,2.7353108,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279329,0
0.6587873,7.52232,0.64514124,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279369,0
0.89264774,6.5906086,1.2818623,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279411,0
0.89583087,6.7866893,0.49486724,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279449,0
0.6067573,7.430473,0.1868415,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279490,0
-3.9371161,-0.43812856,16.109972,23.54893212,87.30056584,91.4696044921875,4.5509996,0,11279511,0
-3.2501745,0.591086,14.674986,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279549,0
-1.8447549,5.070806,4.1139145,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279570,0
-2.3956156,3.6402323,7.3850727,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279611,0
-2.8583066,2.3333392,11.0446205,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279651,0
-3.0076332,1.2376496,14.720846,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279692,0
-3.4042764,-0.6325491,17.10675,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279732,0
-3.4966495,-0.31784084,17.23797,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279772,0
-3.2735937,0.7517122,16.27961,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279812,0
-2.509721,1.0630779,13.451589,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279852,0
-1.748341,4.2896852,6.3799872,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279895,0
-2.9169385,5.1321187,3.6949327,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279934,0
-4.4457893,6.034276,1.2134427,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11279974,0
-5.771143,4.0353303,4.953816,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280014,0
-4.082869,2.6403985,10.144396,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280054,0
-2.064687,1.7366574,11.560366,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280094,0
-1.4829671,3.0737946,9.11959,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280134,0
-3.1348944,4.825553,6.1054125,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280175,0
-4.4869976,5.491057,4.984179,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280216,0
-3.3157284,4.2075377,8.002746,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280256,0
-1.4821931,4.955186,9.179052,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280295,0
-0.104441226,5.549372,10.003167,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280336,0
0.24658369,5.9972296,8.710027,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280378,0
-0.045537084,7.4987245,4.7984166,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280417,0
-2.193299,7.2240467,3.400058,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280457,0
0.16151185,1.6004108,12.604414,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280478,0
-1.0084631,3.6839035,7.374921,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280517,0
-4.6865067,1.3485577,13.148618,23.54893078,87.30056638,91.4696044921875,4.5509996,0,11280538,0
-3.5107098,-0.7163479,15.447686,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280577,0
-2.7303765,0.035767276,13.417174,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280618,0
-1.8010211,3.0995066,7.210055,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280658,0
-4.0909863,5.399764,3.7507362,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280698,0
-7.054669,3.5155418,6.5827355,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280739,0
-3.2657225,2.1885095,11.082691,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280779,0
-3.4462557,0.42648572,13.198244,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280820,0
-2.7787359,2.9389687,8.626486,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280861,0
-2.2979622,4.893631,6.4579463,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280900,0
-2.7096663,5.057734,4.8523273,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280941,0
-2.8833504,5.246288,5.4232144,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11280981,0
-2.9420063,3.0613582,9.100825,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281022,0
-1.8927295,4.1474466,8.091066,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281061,0
-1.5052816,4.6841354,6.507247,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281102,0
-2.4857984,5.3703113,6.38865,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281142,0
-2.6989396,4.1193895,8.914496,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281182,0
-3.8447032,2.4690812,11.714018,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281222,0
1.6849068,8.185101,0.6640052,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281244,0
1.0238811,9.640868,-0.03883811,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281282,0
-3.4698026,-2.3507576,16.716263,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281303,0
-2.6803136,0.96735746,12.315982,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281345,0
0.13976324,4.497481,7.972428,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281384,0
1.3130193,5.0304117,6.7284455,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281424,0
1.4797856,7.6695995,5.601677,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281464,0
0.012473361,6.302654,9.046414,23.54894112,87.30056266,91.4696044921875,4.5509996,0,11281505,0
-1.553603,3.4521983,11.541589,23.54895707,87.30055215,-20.8092975616455,4.5509996,0,11281547,0
-0.4666489,3.0034184,12.462232,23.54895707,87.30055215,-20.8092975616455,4.5509996,0,11281585,0
1.2694311,3.563197,12.108523,23.54895707,87.30055215,-20.8092975616455,4.5509996,0,11281625,0
