x=0.025123211492968308 , y=2.1224040241882296 , z=4.5462942155697865
x=0.005981353723196828 , y=2.1822175614201975 , z=4.450584926720929
x=0.011962707446393656 , y=2.1044523337409307 , z=4.171826377820207
x=-0.008376946923558823 , y=2.0027616911688764 , z=4.374009866364135
x=-0.04785845906328278 , y=1.9178173131662317 , z=4.649182654742022
x=-0.07776522767926691 , y=1.8484290324105237 , z=4.437424422674354
x=-0.0957092888488574 , y=1.8926941016732635 , z=4.334528354224411
x=-0.031104565216165135 , y=1.8125332807936345 , z=4.4697267844907005
x=0.05503760938666061 , y=1.8017683699474218 , z=4.77360854488439
x=0.13040724386556554 , y=1.7395516102373836 , z=4.714985174974895
x=0.18663502057469897 , y=1.762286857807698 , z=4.595342841955542
x=0.13758639418894336 , y=1.720409752467612 , z=4.578596577386133
x=0.0 , y=1.8448356426099808 , z=4.6276452037718885
x=-0.046660662463101785 , y=1.7850221053780124 , z=4.368028512640938
x=0.06340692703251127 , y=2.0733477685247657 , z=4.647984858141841
x=0.11844453641917187 , y=1.9405525607365464 , z=4.2136958538825855
x=0.09092573172584158 , y=1.9381569675361843 , z=4.311800735931805
x=0.10169064257205424 , y=1.8149288739939966 , z=4.670720105712156
x=0.0945114922486764 , y=1.8161266705941777 , z=4.638417743895809
x=0.14596334111250217 , y=1.983619833399105 , z=4.531935914923031
x=0.1662953662047465 , y=2.0147243986152703 , z=4.381189016687513
x=0.20817247154483245 , y=1.9596944185063176 , z=4.582182337908968
x=0.21415382526802929 , y=1.9094403662426729 , z=4.809496667223572
x=0.11964233301935287 , y=1.8843171547497046 , z=4.547492012169967
x=0.06819811343323526 , y=1.983619833399105 , z=4.426651882550434
x=0.06101896310985743 , y=2.062582857678553 , z=4.419472732227056
x=0.150746898235518 , y=2.072149971924585 , z=4.406312228180481
x=0.2476539836845564 , y=2.141545881958001 , z=4.490066438860653
x=0.29551244274783917 , y=2.1283853779114263 , z=4.356065805194545
x=0.296702610070312 , y=2.1283853779114263 , z=4.3776032561646785
x=0.299098203270674 , y=2.057799300555537 , z=4.481689491937094
x=0.3122587073172487 , y=2.0506201502321595 , z=4.625257239849234
x=0.28354210602373736 , y=2.026687106061664 , z=4.521171004076819
x=0.2548331340079342 , y=2.069762008001931 , z=4.437424422674354
x=0.2548331340079342 , y=2.0326684597848605 , z=4.498435756506504
x=0.33738191881021695 , y=1.9632801790291525 , z=4.5223688006769995
x=0.3469566623339568 , y=1.950119674982578 , z=4.592954878032889
x=0.25363533740775324 , y=1.9656757722295146 , z=4.54031286184659
x=0.16510519888227365 , y=2.054205910754994 , z=4.444603572997733
x=0.23807924016081658 , y=1.9967803374456796 , z=4.512794057153259
x=0.2919190529472962 , y=1.953713064783121 , z=4.5654360733395585
x=0.2033889144218166 , y=2.027884902661845 , z=4.406312228180481
x=0.0957092888488574 , y=2.070959804602112 , z=4.32615903657856
x=0.10767199629525105 , y=2.0566015039553562 , z=4.449387130120749
x=0.2189373823910451 , y=2.0063474516917115 , z=4.493652199383488
x=0.2655980448541469 , y=1.9955825408454988 , z=4.3871703704107095
x=0.22611653271442292 , y=1.9393547641363653 , z=4.390763760211253
x=0.17228434920565147 , y=1.981224240198743 , z=4.633626557495085
