x,y,z
0.139 , 8.148 , 5.631
0.1 , 8.244 , 5.528
0.105 , 8.309 , 5.636
0.245 , 8.394 , 5.77
0.358 , 8.458 , 5.782
0.464 , 8.365 , 5.711
0.522 , 8.214 , 5.613
0.556 , 8.16 , 5.508
0.511 , 8.174 , 5.628
0.355 , 8.267 , 5.804
0.161 , 8.381 , 5.86
0.069 , 8.378 , 5.886
-0.028 , 8.332 , 5.857
0.036 , 8.28 , 5.793
0.143 , 8.23 , 5.776
0.234 , 8.255 , 5.681
0.346 , 8.249 , 5.783
0.418 , 8.282 , 5.648
0.44 , 8.345 , 5.568
0.346 , 8.395 , 5.514
0.212 , 8.324 , 5.561
0.1 , 8.377 , 5.634
-0.004 , 8.363 , 5.684
-0.105 , 8.315 , 5.841
-0.045 , 8.332 , 5.851
-0.036 , 8.332 , 5.874
0.1 , 8.382 , 5.752
0.127 , 8.378 , 5.625
0.176 , 8.384 , 5.466
0.243 , 8.433 , 5.381
0.167 , 8.49 , 5.375
0.143 , 8.514 , 5.432
0.092 , 8.575 , 5.551
0.104 , 8.499 , 5.635
0.042 , 8.473 , 5.647
0.008 , 8.382 , 5.587
0.021 , 8.359 , 5.618
0.032 , 8.407 , 5.708
0.084 , 8.498 , 5.726
0.123 , 8.4 , 5.576
0.076 , 8.271 , 5.507
0.038 , 8.183 , 5.531
-0.017 , 8.213 , 5.738
-0.06 , 8.231 , 5.812
-0.176 , 8.172 , 5.922
-0.198 , 8.138 , 5.999
-0.142 , 8.145 , 5.952
-0.144 , 8.188 , 5.866
-0.083 , 8.249 , 5.802
-0.039 , 8.241 , 5.723
0.0 , 8.323 , 5.561
0.036 , 8.309 , 5.6
0.039 , 8.357 , 5.564
0.019 , 8.438 , 5.557
0.007 , 8.451 , 5.515
-0.028 , 8.427 , 5.541
-0.108 , 8.409 , 5.442
-0.174 , 8.437 , 5.412
-0.152 , 8.432 , 5.539
-0.251 , 8.394 , 5.455
-0.23 , 8.49 , 5.628
-0.253 , 8.354 , 5.526
-0.224 , 8.259 , 5.553
-0.246 , 8.188 , 5.574
-0.261 , 8.166 , 5.602
-0.174 , 8.212 , 5.804
-0.326 , 8.202 , 5.889
-0.276 , 8.142 , 6.199
-0.527 , 8.253 , 5.714
-0.273 , 8.466 , 5.491
-0.252 , 7.994 , 5.181
-0.512 , 8.073 , 5.1
-0.247 , 8.454 , 6.406
-0.313 , 8.755 , 5.772
-0.469 , 8.484 , 5.915
-0.151 , 7.862 , 5.673
-0.33 , 7.899 , 5.054
-0.094 , 8.19 , 5.857
-0.345 , 8.43 , 5.691
-0.217 , 8.42 , 6.173
-0.512 , 8.032 , 5.772
-0.422 , 7.965 , 5.859
-0.378 , 8.092 , 5.903
-0.409 , 8.219 , 5.902
-0.285 , 8.413 , 5.843
-0.168 , 8.329 , 5.753
-0.397 , 8.25 , 5.197
-0.345 , 8.151 , 5.023
-0.564 , 8.165 , 5.186
-0.615 , 8.399 , 5.631
-0.708 , 8.423 , 5.884
-0.678 , 8.229 , 5.899
-0.664 , 8.0 , 5.71
-0.606 , 7.988 , 5.717
-0.43 , 8.163 , 5.922
-0.434 , 8.338 , 5.965
-0.361 , 8.212 , 5.849
-0.384 , 8.108 , 5.501
-0.39 , 7.956 , 5.334
-0.486 , 8.102 , 5.649
-0.48 , 8.293 , 5.853
-0.539 , 8.338 , 5.96
-0.494 , 8.182 , 5.944
