x=0.7346039 , y=7.350754 , z=7.5014954
x=0.6149597 , y=7.104294 , z=5.986847
x=0.53359985 , y=7.104294 , z=6.0059814
x=0.29431152 , y=7.085144 , z=7.3698883
x=0.31585693 , y=6.9224396 , z=6.953537
x=0.8063812 , y=6.932007 , z=6.037094
x=1.3184509 , y=7.097107 , z=6.9128723
x=1.1700897 , y=7.3292084 , z=7.511078
x=1.1509552 , y=7.4775696 , z=6.599411
x=1.2275238 , y=7.434494 , z=5.8384857
x=0.7800598 , y=7.314865 , z=6.2859497
x=-0.07417297 , y=7.1162567 , z=6.754944
x=-0.31106567 , y=7.2957153 , z=6.7214355
x=0.122039795 , y=7.4392853 , z=5.9150543
x=0.65563965 , y=7.247864 , z=5.781067
x=0.7034912 , y=7.278961 , z=7.0588226
x=0.4355011 , y=7.080368 , z=6.9559326
x=0.55274963 , y=7.223938 , z=6.805191
x=0.59103394 , y=6.994217 , z=6.551544
x=0.52163696 , y=6.7788696 , z=6.920044
x=0.39242554 , y=7.1401825 , z=7.4560394
x=0.14117432 , y=7.063614 , z=6.0155487
x=0.25842285 , y=7.1066895 , z=6.427124
x=0.35653687 , y=7.1186523 , z=7.3651123
x=0.44506836 , y=7.1449738 , z=6.7621155
x=0.82073975 , y=7.3866425 , z=6.443878
x=0.91645813 , y=7.1856537 , z=6.3792725
x=0.6269226 , y=7.2095795 , z=6.8027954
x=0.21774292 , y=7.475174 , z=6.75972
x=0.023925781 , y=7.5086823 , z=5.7332
x=0.17468262 , y=7.5182495 , z=6.0466614
x=-0.047851562 , y=7.3579254 , z=6.305084
x=-0.36131287 , y=7.4990997 , z=6.221344
x=-0.39720154 , y=7.657028 , z=6.1280212
x=-0.047851562 , y=7.441681 , z=6.16391
x=0.34457397 , y=7.377075 , z=6.8602295
x=0.39959717 , y=7.3292084 , z=6.6711884
x=0.35653687 , y=7.5373993 , z=6.4869385
x=0.28953552 , y=7.4990997 , z=6.443878
x=0.102890015 , y=7.360321 , z=6.6017914
x=-0.095718384 , y=7.350754 , z=6.6759796
x=-0.2033844 , y=7.429718 , z=6.1591187
x=-0.112457275 , y=7.4201508 , z=6.1567383
x=0.07417297 , y=7.286148 , z=6.41037
x=0.25842285 , y=7.276581 , z=6.6711884
x=0.46180725 , y=7.2430725 , z=6.570694
x=0.5431671 , y=7.199997 , z=6.6137695
x=0.46420288 , y=7.104294 , z=6.644867
x=0.2033844 , y=7.137787 , z=6.7740784
x=-0.093322754 , y=7.137787 , z=6.422333
x=-0.14356995 , y=7.1593323 , z=6.419937
x=-0.114852905 , y=7.0660095 , z=6.5563354
x=-0.086135864 , y=7.0995026 , z=6.6879425
x=0.08135986 , y=7.1904297 , z=6.558731
x=0.29431152 , y=7.3627167 , z=6.496521
x=0.45224 , y=7.3172455 , z=6.317047
x=0.3637085 , y=7.4153595 , z=6.558731
x=0.2536316 , y=7.412964 , z=6.4941254
x=0.27757263 , y=7.5302124 , z=6.5611267
x=0.29910278 , y=7.2598267 , z=6.2907257
x=0.14596558 , y=7.4153595 , z=6.5060883
x=-0.21057129 , y=7.3531494 , z=6.276367
x=-0.27278137 , y=7.5373993 , z=6.484543
x=-0.112457275 , y=7.228714 , z=6.2285156
x=0.15074158 , y=7.056427 , z=6.5156555
x=-0.67477417 , y=6.4414825 , z=5.58963
x=-0.0023956299 , y=7.104294 , z=8.812759
x=0.20817566 , y=6.666397 , z=5.4795685
x=0.21057129 , y=7.027725 , z=5.831314
x=-0.16749573 , y=5.848053 , z=6.6137695
x=-0.74894714 , y=8.061417 , z=9.566513
x=-1.0983124 , y=6.604187 , z=4.3214417
x=0.8183441 , y=8.135605 , z=6.9272156
x=1.2969055 , y=6.8482513 , z=5.1972046
x=1.1700897 , y=7.307678 , z=7.446457
x=0.21534729 , y=8.075775 , z=7.032501
x=-0.4139557 , y=8.530411 , z=3.940979
x=0.2679901 , y=7.8460693 , z=5.345566
x=0.7034912 , y=6.9750824 , z=7.4656067
x=0.48812866 , y=6.238083 , z=7.4608154
x=0.25125122 , y=7.2023926 , z=7.4967194
x=0.028717041 , y=6.754944 , z=5.539383
x=0.65563965 , y=7.10907 , z=7.4368896
x=1.0552368 , y=6.273987 , z=7.554138
x=1.071991 , y=6.929611 , z=7.276581
x=0.7465668 , y=6.994217 , z=6.16391
x=0.59103394 , y=7.240677 , z=6.707077
x=0.7920227 , y=7.307678 , z=6.953537
x=1.0600128 , y=7.384247 , z=5.8121643
x=1.1222382 , y=8.027924 , z=5.477173
x=0.7034912 , y=7.9082794 , z=5.058426
x=0.7082825 , y=7.688141 , z=6.731003
x=1.6079712 , y=7.422531 , z=8.1427765
x=1.7371826 , y=7.8843536 , z=7.3220367
x=1.179657 , y=7.728821 , z=7.0947266
x=0.7082825 , y=7.5302124 , z=8.231308
x=0.825531 , y=7.956131 , z=8.518448
x=0.3517456 , y=6.972687 , z=2.634491
x=0.90448 , y=7.5517426 , z=5.3862457
x=0.91645813 , y=5.860016 , z=7.25264
x=1.8903351 , y=2.8522491 , z=12.332611
x=2.2157593 , y=6.5108643 , z=14.246872
x=1.0001984 , y=7.434494 , z=5.5130615
x=1.9716797 , y=4.474579 , z=5.046463
x=3.3666992 , y=5.2905273 , z=15.292526
x=2.8043823 , y=8.934799 , z=10.49971
x=3.4049835 , y=7.716858 , z=-3.1824493
x=4.364502 , y=11.681763 , z=6.7836456
x=1.3088684 , y=6.7693024 , z=3.7040863
x=-0.050247192 , y=10.533203 , z=8.123627
x=2.4335022 , y=7.482361 , z=3.5389862
x=4.62294 , y=10.030716 , z=3.3595276
x=3.378662 , y=7.147354 , z=2.9910278
x=0.57188416 , y=8.690735 , z=7.585251
x=0.13160706 , y=6.151947 , z=6.3601227
x=2.6608124 , y=7.377075 , z=9.669403
x=3.4743805 , y=4.7569275 , z=8.599808
x=3.373886 , y=6.520447 , z=11.605194
x=2.4047852 , y=5.6685944 , z=7.791031
x=1.9932251 , y=7.7647095 , z=7.4727783
x=1.4883423 , y=6.982254 , z=5.36232
x=1.5673065 , y=8.128418 , z=6.1375885
x=1.8281097 , y=7.0157623 , z=2.3401794
x=2.1870422 , y=7.8675995 , z=6.070587
x=0.87815857 , y=7.585251 , z=6.3433685
x=-0.04547119 , y=6.7860413 , z=6.3960114
x=1.1988068 , y=7.5637054 , z=9.422943
x=2.6057892 , y=6.6640167 , z=6.2596283
x=3.2207336 , y=7.668991 , z=6.7405853
x=2.0650024 , y=7.963318 , z=7.4560394
x=0.899704 , y=7.520645 , z=7.1234283
x=1.1509552 , y=7.755142 , z=6.1280212
x=1.7491608 , y=7.7407837 , z=5.194824
x=1.7132568 , y=8.901306 , z=5.417343
x=1.4596252 , y=8.877365 , z=3.460022
x=1.9669037 , y=8.743378 , z=4.134796
x=2.182251 , y=8.145172 , z=5.7355957
x=1.7132568 , y=7.133011 , z=6.7716827
x=1.6749725 , y=7.482361 , z=7.7312164
x=2.0147552 , y=7.4201508 , z=6.3720856
x=2.120041 , y=7.6426697 , z=5.5824585
x=1.5720825 , y=7.307678 , z=6.18544
x=0.7010956 , y=6.75972 , z=6.530014
x=0.45703125 , y=7.3292084 , z=6.8530426
x=0.5264282 , y=7.073181 , z=4.187439
x=1.2155609 , y=7.7455597 , z=5.6231384
x=1.0911255 , y=6.994217 , z=5.9772644
x=0.7657013 , y=6.948761 , z=6.22612
x=0.7896271 , y=7.0707855 , z=6.173477
x=0.77526855 , y=6.398407 , z=6.374481
x=0.62931824 , y=5.9940186 , z=8.336594
x=0.25125122 , y=5.54895 , z=8.726624
x=0.071777344 , y=5.757126 , z=8.6931305
x=-0.62931824 , y=5.7308044 , z=7.836487
x=-1.5266266 , y=5.5537415 , z=8.130814
x=-1.9190369 , y=6.008377 , z=8.781662
x=-1.7539368 , y=6.0681915 , z=7.063614
x=-1.2801666 , y=6.793228 , z=6.4869385
x=-1.5720825 , y=6.61615 , z=6.106491
x=-2.285141 , y=7.2957153 , z=7.1401825
x=-2.670395 , y=7.2622223 , z=6.3553314
x=-2.3688965 , y=7.939392 , z=6.029907
x=-2.5244293 , y=8.039886 , z=5.0105743
x=-2.8330994 , y=8.164307 , z=5.2833557
x=-3.069992 , y=7.9992065 , z=5.927017
x=-3.1489563 , y=7.6953125 , z=5.843277
x=-3.0317078 , y=7.934601 , z=6.02034
x=-2.9407806 , y=7.623535 , z=6.111267
x=-2.5866394 , y=7.5517426 , z=6.8650055
x=-2.4526367 , y=7.2957153 , z=6.30748
x=-2.7421722 , y=7.676178 , z=6.7716827
x=-3.3356018 , y=7.4608154 , z=6.0059814
x=-3.1944122 , y=7.2622223 , z=6.7621155
x=-3.0580292 , y=7.657028 , z=6.582657
x=-3.156128 , y=7.429718 , z=5.024933
x=-3.144165 , y=8.078171 , z=6.180664
x=-3.3666992 , y=7.3962097 , z=5.5704956
x=-3.2231293 , y=7.7240295 , z=6.4534454
